ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDrowsinessFlag,FrequentYawningAlert,ConfirmedDistractionFlag,MedicalEmergencyConfirmed,HazardRequest,BrakeRequest,SpeedDisplayKmh,AlertsEnabled
P01_normal1,50.316,0,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0
P01_normal1,51.345,1.029,ATTENTIVE_NORMAL,0,0,0,0,0,0,1.6,0
P01_normal1,52.522,2.206,ATTENTIVE_NORMAL,0,0,0,0,0,0,3.2,0
P01_normal1,53.539,3.223,ATTENTIVE_NORMAL,0,0,0,0,0,0,4.8,0
P01_normal1,54.597,4.281,ATTENTIVE_NORMAL,0,0,0,0,0,0,6.6,0
P01_normal1,55.66,5.344,ATTENTIVE_NORMAL,0,0,0,0,0,0,8.6,0
P01_normal1,56.686,6.37,ATTENTIVE_NORMAL,0,0,0,0,0,0,9.2,0
P01_normal1,57.784,7.468,ATTENTIVE_NORMAL,0,0,0,0,0,0,11,1
P01_normal1,58.899,8.583,ATTENTIVE_NORMAL,0,0,0,0,0,0,17,1
P01_normal1,59.911,9.595,ATTENTIVE_NORMAL,0,0,0,0,0,0,22.4,1
P01_normal1,60.959,10.643,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.6,1
P01_normal1,61.965,11.649,ATTENTIVE_NORMAL,0,0,0,0,0,0,33.2,1
P01_normal1,63.027,12.711,ATTENTIVE_NORMAL,0,0,0,0,0,0,37,1
P01_normal1,64.041,13.725,ATTENTIVE_NORMAL,0,0,0,0,0,0,40,1
P01_normal1,65.067,14.751,ATTENTIVE_NORMAL,0,0,0,0,0,0,41.2,1
P01_normal1,66.106,15.79,ATTENTIVE_NORMAL,0,0,0,0,0,0,41.8,1
P01_normal1,67.11,16.794,ATTENTIVE_NORMAL,0,0,0,0,0,0,44.4,1
P01_normal1,68.124,17.808,ATTENTIVE_NORMAL,1,0,0,0,0,0,47.8,1
P01_normal1,69.135,18.819,ATTENTIVE_NORMAL,0,0,0,0,0,0,55.4,1
P01_normal1,70.137,19.821,ATTENTIVE_NORMAL,0,0,0,0,0,0,59,1
P01_normal1,71.174,20.858,ATTENTIVE_NORMAL,0,0,0,0,0,0,61.4,1
P01_normal1,72.343,22.027,ATTENTIVE_NORMAL,1,0,0,0,0,0,63.8,1
P01_normal1,73.399,23.083,ATTENTIVE_NORMAL,0,0,0,0,0,0,66.4,1
P01_normal1,74.427,24.111,ATTENTIVE_NORMAL,0,0,0,0,0,0,69,1
P01_normal1,75.46,25.144,ATTENTIVE_NORMAL,0,0,0,0,0,0,71.6,1
P01_normal1,76.512,26.196,ATTENTIVE_NORMAL,0,0,0,0,0,0,74,1
P01_normal1,77.59,27.274,ATTENTIVE_NORMAL,0,0,0,0,0,0,75.8,1
P01_normal1,78.591,28.275,DISTRACTION_CONFIRMED,1,0,1,0,0,0,77.4,1
P01_normal1,79.61,29.294,DISTRACTION_CONFIRMED,1,0,1,0,0,0,77.6,1
P01_normal1,80.707,30.391,ATTENTIVE_NORMAL,0,0,0,0,0,0,77.8,1
P01_normal1,81.75,31.434,ATTENTIVE_NORMAL,0,0,0,0,0,0,77.6,1
P01_normal1,82.759,32.443,ATTENTIVE_NORMAL,0,0,0,0,0,0,77.4,1
P01_normal1,83.905,33.589,ATTENTIVE_NORMAL,0,0,0,0,0,0,77.2,1
P01_normal1,84.929,34.613,ATTENTIVE_NORMAL,1,0,0,0,0,0,77,1
P01_normal1,86.016,35.7,ATTENTIVE_NORMAL,0,0,0,0,0,0,76.6,1
P01_normal1,87.019,36.703,ATTENTIVE_NORMAL,0,0,0,0,0,0,75.8,1
P01_normal1,88.07,37.754,ATTENTIVE_NORMAL,0,0,0,0,0,0,75.2,1
P01_normal1,89.11,38.794,ATTENTIVE_NORMAL,0,0,0,0,0,0,74.6,1
P01_normal1,90.154,39.838,ATTENTIVE_NORMAL,0,0,0,0,0,0,74.2,1
