ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDrowsinessFlag,FrequentYawningAlert,ConfirmedDistractionFlag,MedicalEmergencyConfirmed,HazardRequest,BrakeRequest,SpeedDisplayKmh,AlertsEnabled
P10_normal,98.964,0,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0
P10_normal,100.005,1.041,ATTENTIVE_NORMAL,0,0,0,0,0,0,0.2,0
P10_normal,101.108,2.144,ATTENTIVE_NORMAL,1,0,0,0,0,0,1.2,0
P10_normal,102.125,3.161,ATTENTIVE_NORMAL,0,0,0,0,0,0,2.4,0
P10_normal,103.198,4.234,ATTENTIVE_NORMAL,0,0,0,0,0,0,4.2,0
P10_normal,104.215,5.251,ATTENTIVE_NORMAL,0,0,0,0,0,0,6,0
P10_normal,105.242,6.278,ATTENTIVE_NORMAL,1,0,0,0,0,0,7.6,0
P10_normal,106.384,7.42,ATTENTIVE_NORMAL,1,0,0,0,0,0,8.6,0
P10_normal,107.448,8.484,ATTENTIVE_NORMAL,0,0,0,0,0,0,11.4,1
P10_normal,108.576,9.612,ATTENTIVE_NORMAL,0,0,0,0,0,0,14.8,1
P10_normal,109.649,10.685,ATTENTIVE_NORMAL,0,0,0,0,0,0,17.6,1
P10_normal,110.653,11.689,ATTENTIVE_NORMAL,0,0,0,0,0,0,20.2,1
P10_normal,111.668,12.704,ATTENTIVE_NORMAL,0,0,0,0,0,0,22,1
P+15:11610_normal,112.681,13.717,ATTENTIVE_NORMAL,0,0,0,0,0,0,23.2,1
P10_normal,113.69,14.726,ATTENTIVE_NORMAL,0,0,0,0,0,0,22.4,1
P10_normal,114.737,15.773,ATTENTIVE_NORMAL,0,0,0,0,0,0,22.2,1
P10_normal,115.748,16.784,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,0,22.4,1
P10_normal,116.808,17.844,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,0,22.6,1
P10_normal,117.823,18.859,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,0,22.8,1
P10_normal,118.841,19.877,FATIGUE_DROWSINESS_EVENT,0,0,0,0,0,0,23,1
P10_normal,119.88,20.916,ATTENTIVE_NORMAL,0,0,0,0,0,0,23,1
P10_normal,120.93,21.966,ATTENTIVE_NORMAL,0,0,0,0,0,0,23,1
P10_normal,122.027,23.063,ATTENTIVE_NORMAL,0,0,0,0,0,0,22.8,1
P10_normal,123.112,24.148,ATTENTIVE_NORMAL,0,0,0,0,0,0,22.6,1
P10_normal,124.231,25.267,ATTENTIVE_NORMAL,0,0,0,0,0,0,22.4,1
P10_normal,125.305,26.341,ATTENTIVE_NORMAL,0,0,0,0,0,0,22,1
P10_normal,126.383,27.419,ATTENTIVE_NORMAL,0,0,0,0,0,0,22,1
P10_normal,127.399,28.435,ATTENTIVE_NORMAL,0,0,0,0,0,0,22,1
P10_normal,128.504,29.54,ATTENTIVE_NORMAL,0,0,0,0,0,0,22,1
P10_normal,129.561,30.597,ATTENTIVE_NORMAL,0,0,0,0,0,0,22,1
P10_normal,130.66,31.696,ATTENTIVE_NORMAL,0,0,0,0,0,0,21.8,1
P10_normal,131.741,32.777,ATTENTIVE_NORMAL,0,0,0,0,0,0,21.6,1
P10_normal,132.847,33.883,ATTENTIVE_NORMAL,0,0,0,0,0,0,21.2,1
P10_normal,133.921,34.957,ATTENTIVE_NORMAL,0,0,0,0,0,0,21,1
P10_normal,135.035,36.071,ATTENTIVE_NORMAL,0,0,0,0,0,0,21.2,1
P10_normal,136.089,37.125,ATTENTIVE_NORMAL,0,0,0,0,0,0,21.4,1
P10_normal,137.197,38.233,ATTENTIVE_NORMAL,0,0,0,0,0,0,21.6,1
P10_normal,138.254,39.29,ATTENTIVE_NORMAL,0,0,0,0,0,0,21.8,1
P10_normal,139.384,40.42,ATTENTIVE_NORMAL,0,0,0,0,0,0,22,1
P10_normal,140.431,41.467,ATTENTIVE_NORMAL,0,0,0,0,0,0,22,1
P10_normal,141.518,42.554,ATTENTIVE_NORMAL,0,0,0,0,0,0,22,1
P10_normal,142.594,43.63,ATTENTIVE_NORMAL,0,0,0,0,0,0,24,1
P10_normal,143.683,44.719,ATTENTIVE_NORMAL,0,0,0,0,0,0,27,1
P10_normal,144.725,45.761,ATTENTIVE_NORMAL,0,0,0,0,0,0,27.9,1
P10_normal,145.778,46.814,ATTENTIVE_NORMAL,0,0,0,0,0,0,29.4,1
P10_normal,146.847,47.883,ATTENTIVE_NORMAL,0,0,0,0,0,0,26,1
