ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDrowsinessFlag,FrequentYawningAlert,ConfirmedDistractionFlag,MedicalEmergencyConfirmed,HazardRequest,BrakeRequest,SpeedDisplayKmh,AlertsEnabled
P06_normal,73.484,0,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0
P06_normal,74.54,1.056,ATTENTIVE_NORMAL,0,0,0,0,0,0,1.2,0
P06_normal,75.567,2.083,ATTENTIVE_NORMAL,0,0,0,0,0,0,2.8,0
P06_normal,76.635,3.151,ATTENTIVE_NORMAL,0,0,0,0,0,0,6.4,0
P06_normal,77.666,4.182,ATTENTIVE_NORMAL,0,0,0,0,0,0,10.4,1
P06_normal,78.782,5.298,ATTENTIVE_NORMAL,0,0,0,0,0,0,15,1
P06_normal,79.792,6.308,ATTENTIVE_NORMAL,0,0,0,0,0,0,19,1
P06_normal,80.802,7.318,ATTENTIVE_NORMAL,0,0,0,0,0,0,24,1
P06_normal,81.822,8.338,ATTENTIVE_NORMAL,0,0,0,0,0,0,29,1
P06_normal,82.934,9.45,ATTENTIVE_NORMAL,0,0,0,0,0,0,31.4,1
P06_normal,83.94,10.456,ATTENTIVE_NORMAL,0,0,0,0,0,0,32.4,1
P06_normal,85.028,11.544,ATTENTIVE_NORMAL,0,0,0,0,0,0,34.4,1
P06_normal,86.044,12.56,ATTENTIVE_NORMAL,0,0,0,0,0,0,33.4,1
P06_normal,87.154,13.67,ATTENTIVE_NORMAL,0,0,0,0,0,0,33.2,1
P06_normal,88.17,14.686,DISTRACTION_CONFIRMED,0,0,1,0,0,0,33,1
P06_normal,89.249,15.765,DISTRACTION_CONFIRMED,0,0,1,0,0,0,32.8,1
P06_normal,90.341,16.857,ATTENTIVE_NORMAL,0,0,0,0,0,0,33.6,1
P06_normal,91.367,17.883,ATTENTIVE_NORMAL,0,0,0,0,0,0,35,1
P06_normal,92.436,18.952,ATTENTIVE_NORMAL,0,0,0,0,0,0,36,1
P06_normal,93.452,19.968,ATTENTIVE_NORMAL,0,0,0,0,0,0,36.6,1
P06_normal,94.554,21.07,ATTENTIVE_NORMAL,0,0,0,0,0,0,34.2,1
P06_normal,95.568,22.084,ATTENTIVE_NORMAL,0,0,0,0,0,0,33.2,1
P06_normal,96.65,23.166,ATTENTIVE_NORMAL,0,0,0,0,0,0,33.2,1
P06_normal,97.662,24.178,DISTRACTION_CONFIRMED,0,0,1,0,0,0,33.4,1
P06_normal,98.773,25.289,DISTRACTION_CONFIRMED,0,0,1,0,0,0,33,1
P06_normal,99.786,26.302,DISTRACTION_CONFIRMED,0,0,1,0,0,0,32.4,1
P06_normal,100.868,27.384,DISTRACTION_CONFIRMED,0,0,1,0,0,0,30,1
P06_normal,101.884,28.4,ATTENTIVE_NORMAL,0,0,0,0,0,0,26.6,1
P06_normal,102.933,29.449,ATTENTIVE_NORMAL,0,0,0,0,0,0,23,1
P06_normal,103.984,30.5,ATTENTIVE_NORMAL,0,0,0,0,0,0,19.2,1
P06_normal,105.049,31.565,ATTENTIVE_NORMAL,0,0,0,0,0,0,19,1
P06_normal,106.117,32.633,ATTENTIVE_NORMAL,0,0,0,0,0,0,19,1
P06_normal,107.158,33.674,ATTENTIVE_NORMAL,0,0,0,0,0,0,19.2,1
P06_normal,108.19,34.706,ATTENTIVE_NORMAL,0,0,0,0,0,0,19.6,1
P06_normal,109.233,35.749,ATTENTIVE_NORMAL,0,0,0,0,0,0,20,1
P06_normal,110.306,36.822,ATTENTIVE_NORMAL,0,0,0,0,0,0,20.4,1
P06_normal,111.337,37.853,ATTENTIVE_NORMAL,0,0,0,0,0,0,20.8,1
P06_normal,112.39,38.906,ATTENTIVE_NORMAL,0,0,0,0,0,0,20.8,1
P06_normal,113.434,39.95,ATTENTIVE_NORMAL,0,0,0,0,0,0,20.4,1
P06_normal,114.494,41.01,ATTENTIVE_NORMAL,0,0,0,0,0,0,20.2,1
P06_normal,115.529,42.045,ATTENTIVE_NORMAL,0,0,0,0,0,0,20,1
P06_normal,116.595,43.111,ATTENTIVE_NORMAL,0,0,0,0,0,0,20,1
P06_normal,117.625,44.141,ATTENTIVE_NORMAL,0,0,0,0,0,0,20.4,1
P06_normal,118.674,45.19,ATTENTIVE_NORMAL,0,0,0,0,0,0,21,1
P06_normal,119.7,46.216,ATTENTIVE_NORMAL,0,0,0,0,0,0,21.4,1
P06_normal,120.731,47.247,ATTENTIVE_NORMAL,0,0,0,0,0,0,22,1
P06_normal,121.784,48.3,ATTENTIVE_NORMAL,0,0,0,0,0,0,22.8,1
P06_normal,122.829,49.345,ATTENTIVE_NORMAL,0,0,0,0,0,0,23.4,1
P06_normal,123.886,50.402,ATTENTIVE_NORMAL,0,0,0,0,0,0,24,1
P06_normal,124.946,51.462,ATTENTIVE_NORMAL,0,0,0,0,0,0,24.4,1
P06_normal,126.018,52.534,ATTENTIVE_NORMAL,0,0,0,0,0,0,24.4,1
P06_normal,127.072,53.588,ATTENTIVE_NORMAL,0,0,0,0,0,0,24.4,1
P06_normal,128.114,54.63,ATTENTIVE_NORMAL,0,0,0,0,0,0,24.6,1
P06_normal,129.133,55.649,ATTENTIVE_NORMAL,0,0,0,0,0,0,25.6,1
P06_normal,130.184,56.7,ATTENTIVE_NORMAL,0,0,0,0,0,0,26,1
P06_normal,131.28,57.796,ATTENTIVE_NORMAL,0,0,0,0,0,0,25.6,1
P06_normal,132.28,58.796,ATTENTIVE_NORMAL,0,0,0,0,0,0,25.6,1
P06_normal,133.311,59.827,ATTENTIVE_NORMAL,0,0,0,0,0,0,25.2,1
P06_normal,134.337,60.853,ATTENTIVE_NORMAL,0,0,0,0,0,0,25.2,1
P06_normal,135.45,61.966,ATTENTIVE_NORMAL,0,0,0,0,0,0,26,1
P06_normal,136.512,63.028,ATTENTIVE_NORMAL,0,0,0,0,0,0,26.8,1
