ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDrowsinessFlag,FrequentYawningAlert,ConfirmedDistractionFlag,MedicalEmergencyConfirmed,HazardRequest,BrakeRequest,SpeedDisplayKmh,AlertsEnabled
P03_normal1,168.203,0,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0
P03_normal1,169.369,1.166,ATTENTIVE_NORMAL,0,0,0,0,0,0,1.6,0
P03_normal1,170.417,2.214,ATTENTIVE_NORMAL,0,0,0,0,0,0,3.4,0
P03_normal1,171.441,3.238,ATTENTIVE_NORMAL,0,0,0,0,0,0,5.2,0
P03_normal1,172.496,4.293,ATTENTIVE_NORMAL,0,0,0,0,0,0,8.6,0
P03_normal1,173.543,5.34,ATTENTIVE_NORMAL,0,0,0,0,0,0,8.8,0
P03_normal1,174.564,6.361,ATTENTIVE_NORMAL,0,0,0,0,0,0,9,0
P03_normal1,175.703,7.5,DISTRACTION_CONFIRMED,0,0,1,0,0,0,10.8,1
P03_normal1,176.726,8.523,ATTENTIVE_NORMAL,0,0,0,0,0,0,14.6,1
P03_normal1,177.756,9.553,ATTENTIVE_NORMAL,0,0,0,0,0,0,17.8,1
P03_normal1,178.77,10.567,ATTENTIVE_NORMAL,0,0,0,0,0,0,22.2,1
P03_normal1,179.774,11.571,ATTENTIVE_NORMAL,0,0,0,0,0,0,27.4,1
P03_normal1,180.784,12.581,ATTENTIVE_NORMAL,0,0,0,0,0,0,33,1
P03_normal1,181.814,13.611,ATTENTIVE_NORMAL,0,0,0,0,0,0,37.4,1
P03_normal1,182.862,14.659,ATTENTIVE_NORMAL,0,0,0,0,0,0,51.4,1
P03_normal1,183.906,15.703,ATTENTIVE_NORMAL,0,0,0,0,0,0,59.8,1
P03_normal1,185.033,16.83,ATTENTIVE_NORMAL,0,0,0,0,0,0,67.8,1
P03_normal1,186.113,17.91,ATTENTIVE_NORMAL,0,0,0,0,0,0,76.4,1
P03_normal1,187.181,18.978,ATTENTIVE_NORMAL,0,0,0,0,0,0,84,1
P03_normal1,188.285,20.082,ATTENTIVE_NORMAL,0,0,0,0,0,0,80,1
P03_normal1,189.354,21.151,ATTENTIVE_NORMAL,0,0,0,0,0,0,93.6,1
P03_normal1,190.368,22.165,ATTENTIVE_NORMAL,0,0,0,0,0,0,81.6,1
P03_normal1,191.397,23.194,ATTENTIVE_NORMAL,0,0,0,0,0,0,69,1
P03_normal1,192.425,24.222,DISTRACTION_CONFIRMED,0,0,1,0,0,0,54.6,1
P03_normal1,193.46,25.257,ATTENTIVE_NORMAL,0,0,0,0,0,0,42,1
P03_normal1,194.532,26.329,ATTENTIVE_NORMAL,0,0,0,0,0,0,33.8,1
P03_normal1,195.569,27.366,ATTENTIVE_NORMAL,0,0,0,0,0,0,30,1
P03_normal1,196.713,28.51,ATTENTIVE_NORMAL,0,0,0,0,0,0,29,1
P03_normal1,197.786,29.583,ATTENTIVE_NORMAL,0,0,0,0,0,0,29,1
P03_normal1,198.852,30.649,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.8,1
P03_normal1,199.889,31.686,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.8,1
P03_normal1,200.944,32.741,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.6,1
P03_normal1,201.995,33.792,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.6,1
P03_normal1,202.999,34.796,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.4,1
P03_normal1,204.003,35.8,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.6,1
P03_normal1,205.068,36.865,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.6,1
P03_normal1,206.122,37.919,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.8,1
P03_normal1,207.17,38.967,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.8,1
P03_normal1,208.191,39.988,ATTENTIVE_NORMAL,0,0,0,0,0,0,29,1
P03_normal1,209.204,41.001,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.8,1
P03_normal1,210.339,42.136,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.8,1
P03_normal1,211.355,43.152,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.6,1
P03_normal1,212.386,44.183,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.6,1
P03_normal1,213.428,45.225,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.6,1
P03_normal1,214.448,46.245,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.8,1
P03_normal1,215.577,47.374,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.6,1
P03_normal1,216.601,48.398,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.6,1
P03_normal1,217.642,49.439,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.4,1
P03_normal1,218.646,50.443,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.4,1
P03_normal1,219.668,51.465,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.6,1
P03_normal1,220.67,52.467,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.8,1
P03_normal1,221.683,53.48,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.8,1
P03_normal1,222.727,54.524,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.6,1
P03_normal1,223.738,55.535,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.4,1
P03_normal1,224.771,56.568,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.2,1
P03_normal1,225.867,57.664,ATTENTIVE_NORMAL,0,0,0,0,0,0,28,1
P03_normal1,226.918,58.715,ATTENTIVE_NORMAL,0,0,0,0,0,0,28,1
P03_normal1,227.964,59.761,ATTENTIVE_NORMAL,0,0,0,0,0,0,28,1
P03_normal1,228.987,60.784,ATTENTIVE_NORMAL,0,0,0,0,0,0,28,1
P03_normal1,230.034,61.831,ATTENTIVE_NORMAL,0,0,0,0,0,0,28,1
P03_normal1,231.129,62.926,ATTENTIVE_NORMAL,0,0,0,0,0,0,28,1
P03_normal1,232.246,64.043,ATTENTIVE_NORMAL,0,0,0,0,0,0,28,1
P03_normal1,233.263,65.06,ATTENTIVE_NORMAL,0,0,0,0,0,0,28,1
P03_normal1,234.28,66.077,ATTENTIVE_NORMAL,0,0,0,0,0,0,28,1
P03_normal1,235.33,67.127,ATTENTIVE_NORMAL,0,0,0,0,0,0,28,1
P03_normal1,236.348,68.145,ATTENTIVE_NORMAL,0,0,0,0,0,0,28,1
P03_normal1,237.381,69.178,ATTENTIVE_NORMAL,0,0,0,0,0,0,28,1
P03_normal1,238.422,70.219,ATTENTIVE_NORMAL,0,0,0,0,0,0,27.4,1
P03_normal1,239.54,71.337,ATTENTIVE_NORMAL,0,0,0,0,0,0,25,1
P03_normal1,240.567,72.364,ATTENTIVE_NORMAL,0,0,0,0,0,0,24,1
P03_normal1,241.644,73.441,ATTENTIVE_NORMAL,0,0,0,0,0,0,22.8,1
P03_normal1,242.673,74.47,ATTENTIVE_NORMAL,0,0,0,0,0,0,22.4,1
P03_normal1,243.705,75.502,ATTENTIVE_NORMAL,0,0,0,0,0,0,22.6,1
P03_normal1,244.778,76.575,ATTENTIVE_NORMAL,0,0,0,0,0,0,22.8,1
P03_normal1,245.794,77.591,ATTENTIVE_NORMAL,0,0,0,0,0,0,22.8,1
P03_normal1,246.814,78.611,ATTENTIVE_NORMAL,0,0,0,0,0,0,23,1
P03_normal1,247.851,79.648,ATTENTIVE_NORMAL,0,0,0,0,0,0,23,1
P03_normal1,248.866,80.663,ATTENTIVE_NORMAL,0,0,0,0,0,0,23,1
P03_normal1,249.88,81.677,ATTENTIVE_NORMAL,0,0,0,0,0,0,23,1
P03_normal1,251.031,82.828,ATTENTIVE_NORMAL,0,0,0,0,0,0,23,1
P03_normal1,252.057,83.854,ATTENTIVE_NORMAL,0,0,0,0,0,0,23,1
P03_normal1,253.109,84.906,ATTENTIVE_NORMAL,0,0,0,0,0,0,23,1
P03_normal1,254.182,85.979,ATTENTIVE_NORMAL,0,0,0,0,0,0,23,1
P03_normal1,255.185,86.982,ATTENTIVE_NORMAL,0,0,0,0,0,0,23,1
P03_normal1,256.189,87.986,ATTENTIVE_NORMAL,0,0,0,0,0,0,23,1
P03_normal1,257.207,89.004,ATTENTIVE_NORMAL,0,0,0,0,0,0,23.2,1
P03_normal1,258.227,90.024,ATTENTIVE_NORMAL,0,0,0,0,0,0,23.4,1
