ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDrowsinessFlag,FrequentYawningAlert,ConfirmedDistractionFlag,MedicalEmergencyConfirmed,HazardRequest,BrakeRequest,SpeedDisplayKmh,AlertsEnabled
P09_normal,48.877,0,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0
P09_normal,50.018,1.141,ATTENTIVE_NORMAL,0,0,0,0,0,0,1.2,0
P09_normal,51.038,2.161,ATTENTIVE_NORMAL,0,0,0,0,0,0,2.8,0
P09_normal,52.129,3.252,ATTENTIVE_NORMAL,0,0,0,0,0,0,4.4,0
P09_normal,53.131,4.254,ATTENTIVE_NORMAL,0,0,0,0,0,0,6,0
P09_normal,54.267,5.39,ATTENTIVE_NORMAL,0,0,0,0,0,0,7.6,0
P09_normal,55.416,6.539,ATTENTIVE_NORMAL,0,0,0,0,0,0,9.6,0
P09_normal,56.461,7.584,ATTENTIVE_NORMAL,0,0,0,0,0,0,12.6,1
P09_normal,57.508,8.631,ATTENTIVE_NORMAL,0,0,0,0,0,0,16.8,1
P09_normal,58.516,9.639,DISTRACTION_CONFIRMED,1,0,1,0,0,0,22.4,1
P09_normal,59.6,10.723,ATTENTIVE_NORMAL,0,0,0,0,0,0,28.2,1
P09_normal,60.622,11.745,ATTENTIVE_NORMAL,0,0,0,0,0,0,34.2,1
P09_normal,61.657,12.78,ATTENTIVE_NORMAL,0,0,0,0,0,0,42.4,1
P09_normal,62.689,13.812,ATTENTIVE_NORMAL,0,0,0,0,0,0,50.6,1
P09_normal,63.827,14.95,ATTENTIVE_NORMAL,1,0,0,0,0,0,59.2,1
P09_normal,64.842,15.965,ATTENTIVE_NORMAL,0,0,0,0,0,0,76.8,1
P09_normal,65.85,16.973,ATTENTIVE_NORMAL,0,0,0,0,0,0,82.4,1
P09_normal,66.869,17.992,ATTENTIVE_NORMAL,0,0,0,0,0,0,85,1
P09_normal,67.891,19.014,ATTENTIVE_NORMAL,0,0,0,0,0,0,83.6,1
P09_normal,68.897,20.02,ATTENTIVE_NORMAL,1,0,0,0,0,0,82.8,1
P09_normal,69.934,21.057,ATTENTIVE_NORMAL,0,0,0,0,0,0,82,1
P09_normal,70.986,22.109,ATTENTIVE_NORMAL,0,0,0,0,0,0,80.4,1
P09_normal,72.001,23.124,DISTRACTION_CONFIRMED,1,0,1,0,0,0,79.4,1
P09_normal,73.112,24.235,DISTRACTION_CONFIRMED,0,0,1,0,0,0,79.6,1
P09_normal,74.122,25.245,ATTENTIVE_NORMAL,0,0,0,0,0,0,79.6,1
P09_normal,75.242,26.365,ATTENTIVE_NORMAL,0,0,0,0,0,0,79,1
P09_normal,76.262,27.385,ATTENTIVE_NORMAL,0,0,0,0,0,0,79.2,1
P09_normal,77.419,28.542,ATTENTIVE_NORMAL,1,0,0,0,0,0,78.2,1
P09_normal,78.431,29.554,DISTRACTION_CONFIRMED,1,0,1,0,0,0,80.4,1
P09_normal,79.546,30.669,ATTENTIVE_NORMAL,0,0,0,0,0,0,82.4,1
P09_normal,80.582,31.705,ATTENTIVE_NORMAL,1,0,0,0,0,0,80.2,1
P09_normal,81.584,32.707,ATTENTIVE_NORMAL,0,0,0,0,0,0,75.8,1
P09_normal,82.635,33.758,ATTENTIVE_NORMAL,0,0,0,0,0,0,72.8,1
P09_normal,83.676,34.799,ATTENTIVE_NORMAL,0,0,0,0,0,0,65.4,1
P09_normal,84.687,35.81,ATTENTIVE_NORMAL,1,0,0,0,0,0,57.6,1
P09_normal,85.742,36.865,ATTENTIVE_NORMAL,0,0,0,0,0,0,61.2,1
