ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDistractionFlag,ConfirmedPhoneUse,ConfirmedHeadLeft,ConfirmedHeadRight,ConfirmedHeadDown,ConfirmedPassengerTalk,ConfirmedCenterConsole,MedicalEmergencyConfirmed,HazardRequest,BrakeRequest,SpeedDisplayKmh,AlertsEnabled
P03_distraction,24.69,0,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,0,0
P03_distraction,25.781,1.091,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,1.2,0
P03_distraction,26.929,2.239,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,2.6,0
P03_distraction,28.053,3.363,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,4.4,0
P03_distraction,29.069,4.379,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,6.4,0
P03_distraction,30.074,5.384,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,11.8,1
P03_distraction,31.111,6.421,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,16,1
P03_distraction,32.124,7.434,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,21.2,1
P03_distraction,33.157,8.467,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,31,1
P03_distraction,34.315,9.625,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,33.6,1
P03_distraction,35.323,10.633,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,35.8,1
P03_distraction,36.35,11.66,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,37.2,1
P03_distraction,37.435,12.745,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,39,1
P03_distraction,38.445,13.755,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,40.4,1
P03_distraction,39.592,14.902,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,40.8,1
P03_distraction,40.621,15.931,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,42.4,1
P03_distraction,41.725,17.035,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,44.6,1
P03_distraction,42.731,18.041,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,46.4,1
P03_distraction,43.832,19.142,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,46.6,1
P03_distraction,44.881,20.191,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,46,1
P03_distraction,46.007,21.317,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,44.4,1
P03_distraction,47.126,22.436,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,38.8,1
P03_distraction,48.284,23.594,DISTRACTION_CONFIRMED,1,0,0,1,0,1,0,0,0,0,28,1
P03_distraction,49.284,24.594,DISTRACTION_CONFIRMED,1,0,0,1,0,1,0,0,0,0,24.2,1
P03_distraction,50.315,25.625,DISTRACTION_CONFIRMED,1,0,0,1,0,1,0,0,0,0,21.2,1
P03_distraction,51.486,26.796,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,20.4,1
P03_distraction,52.62,27.93,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,20.6,1
P03_distraction,53.624,28.934,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,20.8,1
P03_distraction,54.7,30.01,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,21,1
P03_distraction,55.833,31.143,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,21,1
P03_distraction,56.849,32.159,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,21,1
P03_distraction,57.855,33.165,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,21,1
P03_distraction,58.89,34.2,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,21,1
P03_distraction,59.899,35.209,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,21,1
P03_distraction,60.93,36.24,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,21,1
P03_distraction,62.018,37.328,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,21,1
P03_distraction,63.084,38.394,DISTRACTION_PHONE_DETECTED,1,1,0,0,0,0,0,0,0,0,21,1
P03_distraction,64.143,39.453,DISTRACTION_PHONE_DETECTED,1,1,0,0,0,0,0,0,0,0,21,1
P03_distraction,65.146,40.456,DISTRACTION_PHONE_DETECTED,1,1,0,1,0,0,0,0,0,0,21,1
P03_distraction,66.208,41.518,DISTRACTION_PHONE_DETECTED,1,1,0,0,0,0,0,0,0,0,20.8,1
P03_distraction,67.216,42.526,DISTRACTION_PHONE_DETECTED,1,1,0,0,0,0,0,0,0,0,20.6,1
P03_distraction,68.216,43.526,DISTRACTION_PHONE_DETECTED,1,1,0,0,0,0,0,0,0,0,20.6,1
P03_distraction,69.22,44.53,DISTRACTION_AUDIO_ALERT,1,1,0,0,0,0,0,0,0,0,20.6,1
P03_distraction,70.256,45.566,DISTRACTION_AUDIO_ALERT,1,1,0,0,0,0,0,0,0,0,20.6,1
P03_distraction,71.328,46.638,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20.6,1
P03_distraction,72.361,47.671,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20.6,1
P03_distraction,73.528,48.838,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20.6,1
P03_distraction,74.576,49.886,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20.6,1
P03_distraction,75.647,50.957,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,20.8,1
P03_distraction,76.725,52.035,DISTRACTION_CONFIRMED,1,0,1,0,0,0,1,0,0,0,21,1
P03_distraction,77.788,53.098,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,20.8,1
P03_distraction,78.836,54.146,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20.6,1
P03_distraction,79.878,55.188,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20.6,1
P03_distraction,80.988,56.298,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,20.6,1
P03_distraction,82.004,57.314,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20.8,1
P03_distraction,83.072,58.382,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,20.8,1
P03_distraction,84.178,59.488,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,21,1
P03_distraction,85.325,60.635,DISTRACTION_CONFIRMED,1,0,0,1,0,1,0,0,0,0,21,1
P03_distraction,86.431,61.741,DISTRACTION_CONFIRMED,1,0,0,1,0,1,1,0,0,0,20.8,1
P03_distraction,87.583,62.893,DISTRACTION_CONFIRMED,1,0,0,1,0,1,1,0,0,0,20.6,1
P03_distraction,88.7,64.01,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,1,0,0,0,20.2,1
P03_distraction,89.73,65.04,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,1,0,0,0,20,1
P03_distraction,90.791,66.101,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,1,0,0,0,20,1
P03_distraction,91.804,67.114,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,20,1
P03_distraction,92.877,68.187,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,20,1
P03_distraction,93.932,69.242,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,20,1
P03_distraction,95.036,70.346,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,20,1
P03_distraction,96.055,71.365,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,20,1
P03_distraction,97.155,72.465,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,20,1
P03_distraction,98.167,73.477,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,20,1
P03_distraction,99.268,74.578,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,20,1
P03_distraction,100.269,75.579,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20,1
P03_distraction,101.278,76.588,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20,1
P03_distraction,102.323,77.633,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20,1
P03_distraction,103.441,78.751,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20,1
P03_distraction,104.534,79.844,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,20,1
P03_distraction,105.666,80.976,DISTRACTION_CONFIRMED,1,0,0,1,0,1,0,0,0,0,20,1
P03_distraction,106.784,82.094,DISTRACTION_CONFIRMED,1,0,0,1,0,1,0,0,0,0,20,1
P03_distraction,107.937,83.247,DISTRACTION_CONFIRMED,1,0,0,1,0,1,0,0,0,0,20,1
