ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDistractionFlag,ConfirmedPhoneUse,ConfirmedHeadLeft,ConfirmedHeadRight,ConfirmedHeadDown,ConfirmedPassengerTalk,ConfirmedCenterConsole,MedicalEmergencyConfirmed,HazardRequest,BrakeRequest,SpeedDisplayKmh,AlertsEnabled
P04_distraction,9.773,0,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,0
P04_distraction,10.789,1.016,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,0
P04_distraction,11.793,2.02,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0.2,0
P04_distraction,12.793,3.02,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,1.6,0
P04_distraction,13.84,4.067,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,3.2,0
P04_distraction,14.92,5.147,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,5,0
P04_distraction,15.932,6.159,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,6.8,0
P04_distraction,17.03,7.257,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,8.6,0
P04_distraction,18.062,8.289,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,9.4,0
P04_distraction,19.08,9.307,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,10.6,1
P04_distraction,20.108,10.335,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,12.8,1
P04_distraction,21.145,11.372,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,17.2,1
P04_distraction,22.161,12.388,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19.4,1
P04_distraction,23.226,13.453,FACE_NOT_VISIBLE_OR_SEARCHING,0,0,0,0,0,0,0,0,0,0,21,1
P04_distraction,24.258,14.485,FACE_NOT_VISIBLE_OR_SEARCHING,0,0,0,0,0,0,0,0,0,0,22.2,1
P04_distraction,25.411,15.638,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,23.4,1
P04_distraction,26.424,16.651,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,24.4,1
P04_distraction,27.527,17.754,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,25.4,1
P04_distraction,28.688,18.915,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,26.4,1
P04_distraction,29.809,20.036,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,27.2,1
P04_distraction,30.866,21.093,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,27.2,1
P04_distraction,31.964,22.191,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,26.6,1
P04_distraction,32.967,23.194,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,25.8,1
P04_distraction,34.048,24.275,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,24.8,1
P04_distraction,35.077,25.304,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,24,1
P04_distraction,36.23,26.457,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,23.6,1
P04_distraction,37.245,27.472,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,24,1
P04_distraction,38.248,28.475,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,24.2,1
P04_distraction,39.365,29.592,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,24.2,1
P04_distraction,40.387,30.614,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,24.2,1
P04_distraction,41.397,31.624,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,24.2,1
P04_distraction,42.429,32.656,DISTRACTION_CONFIRMED,1,0,0,1,0,1,0,0,0,0,24,1
P04_distraction,43.551,33.778,DISTRACTION_CONFIRMED,1,0,0,1,0,1,0,0,0,0,24,1
P04_distraction,44.606,34.833,DISTRACTION_CONFIRMED,1,0,0,1,0,1,0,0,0,0,24.2,1
P04_distraction,45.611,35.838,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,24.6,1
P04_distraction,46.791,37.018,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,24.6,1
P04_distraction,47.84,38.067,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,24.8,1
P04_distraction,48.928,39.155,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,24.8,1
P04_distraction,49.99,40.217,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,24.8,1
P04_distraction,50.994,41.221,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,24.8,1
P04_distraction,51.999,42.226,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,25,1
P04_distraction,53.057,43.284,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,25,1
P04_distraction,54.129,44.356,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,25,1
P04_distraction,55.137,45.364,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,24.6,1
P04_distraction,56.344,46.571,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,24.4,1
P04_distraction,57.371,47.598,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,24.4,1
P04_distraction,58.407,48.634,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,24.4,1
P04_distraction,59.415,49.642,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,24.6,1
P04_distraction,60.534,50.761,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,24.8,1
P04_distraction,61.577,51.804,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,25,1
P04_distraction,62.593,52.82,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,25,1
P04_distraction,63.657,53.884,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,25,1
P04_distraction,64.826,55.053,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,25.4,1
P04_distraction,65.882,56.109,DISTRACTION_CONFIRMED,1,0,0,0,0,0,1,0,0,0,25.6,1
P04_distraction,66.997,57.224,DISTRACTION_CONFIRMED,1,0,0,0,0,0,1,0,0,0,25.6,1
P04_distraction,68.059,58.286,DISTRACTION_CONFIRMED,1,0,0,0,0,0,1,0,0,0,25.2,1
P04_distraction,69.179,59.406,DISTRACTION_CONFIRMED,1,0,0,0,0,0,1,0,0,0,23.6,1
P04_distraction,70.19,60.417,DISTRACTION_CONFIRMED,1,0,0,0,0,0,1,0,0,0,22.8,1
P04_distraction,71.244,61.471,DISTRACTION_AUDIO_ALERT,1,0,0,0,0,0,1,0,0,0,22.4,1
P04_distraction,72.276,62.503,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,1,0,0,0,22.4,1
P04_distraction,73.408,63.635,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,1,0,0,0,22.6,1
P04_distraction,74.429,64.656,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,22.8,1
P04_distraction,75.536,65.763,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,23,1
P04_distraction,76.652,66.879,DISTRACTION_AUDIO_ALERT,1,0,1,0,0,0,0,0,0,0,23,1
P04_distraction,77.707,67.934,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,22.8,1
P04_distraction,78.714,68.941,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,22.6,1
P04_distraction,79.758,69.985,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,22.2,1
P04_distraction,80.89,71.117,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,21.8,1
P04_distraction,81.933,72.16,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,21.4,1
P04_distraction,82.962,73.189,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,21.2,1
P04_distraction,83.983,74.21,DISTRACTION_CONFIRMED,0,0,0,0,0,0,0,0,0,0,21.2,1
P04_distraction,85.09,75.317,DISTRACTION_CONFIRMED,0,0,0,0,0,0,0,0,0,0,21.4,1
P04_distraction,86.211,76.438,DISTRACTION_CONFIRMED,0,0,0,0,0,0,0,0,0,0,21.4,1
P04_distraction,87.225,77.452,DISTRACTION_CONFIRMED,0,0,0,0,0,0,0,0,0,0,21.4,1
P04_distraction,88.332,78.559,DISTRACTION_CONFIRMED,0,0,0,0,0,0,0,0,0,0,21.2,1
P04_distraction,89.482,79.709,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,0,0,0,0,0,21,1
P04_distraction,90.549,80.776,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,0,0,0,0,0,21,1
P04_distraction,91.707,81.934,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,0,0,0,0,0,20.8,1
P04_distraction,92.746,82.973,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,0,0,0,0,0,20.4,1
P04_distraction,93.819,84.046,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,0,0,0,0,0,20.2,1
P04_distraction,94.821,85.048,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,0,0,0,0,0,20,1
P04_distraction,95.921,86.148,FATIGUE_DROWSINESS_EVENT,0,0,0,0,0,0,0,0,0,0,20.2,1
P04_distraction,96.937,87.164,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20.4,1
P04_distraction,97.968,88.195,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20.4,1
P04_distraction,99.001,89.228,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20.4,1
P04_distraction,100.091,90.318,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20.6,1
P04_distraction,101.119,91.346,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20.6,1
P04_distraction,102.266,92.493,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20.6,1
P04_distraction,103.379,93.606,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20.6,1
P04_distraction,104.388,94.615,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20.4,1
P04_distraction,105.408,95.635,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,0,0,0,0,0,0,20.2,1
P04_distraction,106.423,96.65,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,0,0,0,0,0,0,20,1
P04_distraction,107.444,97.671,FATIGUE_DROWSINESS_EVENT,0,0,0,0,0,0,0,0,0,0,20,1
P04_distraction,108.543,98.77,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20,1
P04_distraction,109.593,99.82,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20,1
P04_distraction,110.601,100.828,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20,1
P04_distraction,111.715,101.942,DISTRACTION_PHONE_DETECTED,1,1,0,0,0,0,0,0,0,0,20,1
P04_distraction,112.717,102.944,DISTRACTION_PHONE_DETECTED,1,1,0,0,0,0,0,0,0,0,20,1
