ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDistractionFlag,ConfirmedPhoneUse,ConfirmedHeadLeft,ConfirmedHeadRight,ConfirmedHeadDown,ConfirmedPassengerTalk,ConfirmedCenterConsole,MedicalEmergencyConfirmed,HazardRequest,BrakeRequest,SpeedDisplayKmh,AlertsEnabled
P09_distraction,23.655,0,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,0,0
P09_distraction,24.7,1.045,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,1,0
P09_distraction,25.711,2.056,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,2.8,0
P09_distraction,26.716,3.061,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,4.8,0
P09_distraction,27.766,4.111,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,6.6,0
P09_distraction,28.863,5.208,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,10,1
P09_distraction,29.88,6.225,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,12.4,1
P09_distraction,30.916,7.261,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,15.8,1
P09_distraction,32.013,8.358,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,21.4,1
P09_distraction,33.069,9.414,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,26.8,1
P09_distraction,34.07,10.415,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,32.6,1
P09_distraction,35.125,11.47,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,37,1
P09_distraction,36.173,12.518,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,42.2,1
P09_distraction,37.209,13.554,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,55.8,1
P09_distraction,38.222,14.567,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,64,1
P09_distraction,39.233,15.578,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,73.6,1
P09_distraction,40.248,16.593,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,82,1
P09_distraction,41.272,17.617,FATIGUE_DROWSINESS_CONFIRMED,1,0,1,0,0,0,0,0,0,0,88.6,1
P09_distraction,42.327,18.672,FATIGUE_DROWSINESS_CONFIRMED,1,0,1,0,0,0,0,0,0,0,93.2,1
P09_distraction,43.368,19.713,FATIGUE_DROWSINESS_CONFIRMED,1,0,1,0,0,0,0,0,0,0,97,1
P09_distraction,44.412,20.757,FATIGUE_DROWSINESS_EVENT,0,0,0,0,0,0,0,0,0,0,97.8,1
P09_distraction,45.43,21.775,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,94,1
P09_distraction,46.457,22.802,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,84.8,1
P09_distraction,47.457,23.802,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,74.2,1
P09_distraction,48.508,24.853,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,64.2,1
P09_distraction,49.53,25.875,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,51.6,1
P09_distraction,50.561,26.906,DISTRACTION_CONFIRMED,1,0,0,1,0,1,0,0,0,0,51.2,1
P09_distraction,51.578,27.923,DISTRACTION_CONFIRMED,1,0,0,1,0,1,0,0,0,0,51.2,1
P09_distraction,52.633,28.978,FATIGUE_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,50.2,1
P09_distraction,53.643,29.988,FATIGUE_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,49.2,1
P09_distraction,54.748,31.093,FATIGUE_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,49,1
P09_distraction,55.79,32.135,FATIGUE_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,50,1
P09_distraction,56.801,33.146,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,50.4,1
P09_distraction,57.836,34.181,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,49.6,1
P09_distraction,58.918,35.263,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,44.4,1
P09_distraction,59.96,36.305,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,41.2,1
P09_distraction,60.975,37.32,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,40.6,1
P09_distraction,62.007,38.352,DISTRACTION_CONFIRMED,1,0,0,1,0,1,1,0,0,0,42.4,1
P09_distraction,63.168,39.513,DISTRACTION_CONFIRMED,1,0,0,1,0,0,1,0,0,0,46.2,1
P09_distraction,64.172,40.517,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,0,1,0,0,0,49.2,1
P09_distraction,65.292,41.637,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,0,1,0,0,0,51.8,1
P09_distraction,66.314,42.659,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,52.4,1
P09_distraction,67.321,43.666,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,45.4,1
