ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDistractionFlag,ConfirmedPhoneUse,ConfirmedHeadLeft,ConfirmedHeadRight,ConfirmedHeadDown,ConfirmedPassengerTalk,ConfirmedCenterConsole,MedicalEmergencyConfirmed,HazardRequest,BrakeRequest,SpeedDisplayKmh,AlertsEnabled
P06_distraction,43.199,0,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,0,0
P06_distraction,44.377,1.178,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,0,0
P06_distraction,45.455,2.256,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,1,0
P06_distraction,46.468,3.269,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,2.8,0
P06_distraction,47.527,4.328,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,4.2,0
P06_distraction,48.623,5.424,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,6,0
P06_distraction,49.716,6.517,DISTRACTION_CONFIRMED,1,0,0,0,0,0,0,0,0,0,9.2,0
P06_distraction,50.806,7.607,DISTRACTION_CONFIRMED,1,0,0,0,0,0,1,0,0,0,13.6,1
P06_distraction,51.829,8.63,DISTRACTION_CONFIRMED,1,0,0,0,0,0,1,0,0,0,16.8,1
P06_distraction,52.85,9.651,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19.4,1
P06_distraction,53.889,10.69,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20.8,1
P06_distraction,54.914,11.715,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,21.4,1
P06_distraction,55.981,12.782,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,23,1
P06_distraction,57.043,13.844,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,23.8,1
P06_distraction,58.078,14.879,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,23.4,1
P06_distraction,59.206,16.007,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,23,1
P06_distraction,60.232,17.033,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,21.6,1
P06_distraction,61.238,18.039,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,23.4,1
P06_distraction,62.389,19.19,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,25.4,1
P06_distraction,63.457,20.258,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,26.6,1
P06_distraction,64.506,21.307,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,27,1
P06_distraction,65.556,22.357,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,26.8,1
P06_distraction,66.563,23.364,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,25.4,1
P06_distraction,67.566,24.367,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,23.4,1
P06_distraction,68.633,25.434,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,22,1
P06_distraction,69.702,26.503,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,21.4,1
P06_distraction,70.799,27.6,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,22.4,1
P06_distraction,71.869,28.67,DISTRACTION_CONFIRMED,1,0,1,0,0,0,0,0,0,0,23.4,1
P06_distraction,72.946,29.747,FATIGUE_DROWSINESS_CONFIRMED,1,0,1,0,0,0,0,0,0,0,25.6,1
P06_distraction,74.019,30.82,FATIGUE_DROWSINESS_CONFIRMED,1,0,1,0,0,0,0,0,0,0,26.8,1
P06_distraction,75.097,31.898,FATIGUE_DROWSINESS_CONFIRMED,1,0,1,0,0,0,0,0,0,0,26.2,1
P06_distraction,76.161,32.962,FATIGUE_DROWSINESS_CONFIRMED,1,0,1,0,0,0,0,0,0,0,24.4,1
P06_distraction,77.229,34.03,FATIGUE_DROWSINESS_CONFIRMED,1,0,1,0,0,0,0,0,0,0,21.2,1
P06_distraction,78.235,35.036,FATIGUE_DROWSINESS_EVENT,0,0,0,0,0,0,0,0,0,0,19.6,1
P06_distraction,79.25,36.051,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,19.4,1
P06_distraction,80.253,37.054,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20.2,1
P06_distraction,81.264,38.065,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,20.6,1
P06_distraction,82.325,39.126,ATTENTIVE_NORMAL,0,0,0,0,0,0,0,0,0,0,21.2,1
P06_distraction,83.352,40.153,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,22,1
P06_distraction,84.388,41.189,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,22.6,1
P06_distraction,85.467,42.268,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,23,1
P06_distraction,86.515,43.316,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,23,1
P06_distraction,87.563,44.364,DISTRACTION_CONFIRMED,1,0,0,1,0,0,0,0,0,0,22.4,1
P06_distraction,88.617,45.418,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,0,0,0,0,0,22.2,1
P06_distraction,89.662,46.463,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,0,0,0,0,0,22,1
P06_distraction,90.698,47.499,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,22,1
P06_distraction,91.733,48.534,DISTRACTION_AUDIO_ALERT,1,0,0,1,0,1,0,0,0,0,22,1
