ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,MedicalEmergencyConfirmed,CriticalUnresponsive,HazardRequest,BrakeRequest,FaceFound,SpeedDisplayKmh,AlertsEnabled
P05_medical1,37.787,0,ATTENTIVE_NORMAL,0,0,0,0,1,42.4,1
P05_medical1,38.83,1.043,ATTENTIVE_NORMAL,0,0,0,0,1,40,1
P05_medical1,39.839,2.052,ATTENTIVE_NORMAL,0,0,0,0,1,39,1
P05_medical1,40.883,3.096,ATTENTIVE_NORMAL,0,0,0,0,1,38.6,1
P05_medical1,42.034,4.247,ATTENTIVE_NORMAL,0,0,0,0,1,38.4,1
P05_medical1,43.065,5.278,ATTENTIVE_NORMAL,0,0,0,0,1,37.8,1
P05_medical1,44.142,6.355,DISTRACTION_CONFIRMED,0,0,0,0,1,36.6,1
P05_medical1,45.304,7.517,DISTRACTION_CONFIRMED,0,0,0,0,1,35.6,1
P05_medical1,46.324,8.537,DISTRACTION_CONFIRMED,0,0,0,0,1,34.8,1
P05_medical1,47.407,9.62,DISTRACTION_CONFIRMED,0,0,0,0,1,34.2,1
P05_medical1,48.411,10.624,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,34,1
P05_medical1,49.553,11.766,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,35,1
P05_medical1,50.577,12.79,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,36.8,1
P05_medical1,51.649,13.862,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,37.4,1
P05_medical1,52.664,14.877,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,38,1
P05_medical1,53.769,15.982,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,38.2,1
P05_medical1,54.904,17.117,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,38.4,1
P05_medical1,55.921,18.134,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,38.4,1
P05_medical1,57.059,19.272,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,38.4,1
P05_medical1,58.104,20.317,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,36.6,1
P05_medical1,59.204,21.417,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,35.8,1
P05_medical1,60.215,22.428,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,35.2,1
P05_medical1,61.35,23.563,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,34.6,1
P05_medical1,62.362,24.575,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,34.4,1
P05_medical1,63.38,25.593,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,34.6,1
P05_medical1,64.405,26.618,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,34.2,1
P05_medical1,65.435,27.648,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,33.8,1
P05_medical1,66.478,28.691,ATTENTIVE_NORMAL,0,0,0,0,1,33.4,1
P05_medical1,67.522,29.735,ATTENTIVE_NORMAL,0,0,0,0,1,33.2,1
P05_medical1,68.543,30.756,ATTENTIVE_NORMAL,0,0,0,0,1,33,1
P05_medical1,69.581,31.794,ATTENTIVE_NORMAL,0,0,0,0,1,33,1
P05_medical1,70.621,32.834,ATTENTIVE_NORMAL,0,0,0,0,1,33,1
P05_medical1,71.797,34.01,DISTRACTION_CONFIRMED,0,0,0,0,1,33,1
P05_medical1,72.821,35.034,DISTRACTION_CONFIRMED,0,0,0,0,1,32.8,1
P05_medical1,73.908,36.121,DISTRACTION_CONFIRMED,0,0,0,0,1,32.6,1
P05_medical1,74.93,37.143,DISTRACTION_CONFIRMED,0,0,0,0,1,32.4,1
P05_medical1,76.045,38.258,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,32.4,1
P05_medical1,77.054,39.267,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,33,1
P05_medical1,78.127,40.34,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,33.4,1
P05_medical1,79.146,41.359,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,33.8,1
P05_medical1,80.245,42.458,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,34,1
P05_medical1,81.265,43.478,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,34.2,1
P05_medical1,82.325,44.538,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,35,1
P05_medical1,83.325,45.538,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,36,1
P05_medical1,84.47,46.683,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,36.8,1
P05_medical1,85.506,47.719,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,37.6,1
P05_medical1,86.608,48.821,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,38.2,1
P05_medical1,87.616,49.829,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,38,1
P05_medical1,88.706,50.919,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,38,1
P05_medical1,89.715,51.928,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,38,1
P05_medical1,90.733,52.946,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,38,1
P05_medical1,91.748,53.961,ATTENTIVE_NORMAL,0,0,0,0,1,38,1
P05_medical1,92.769,54.982,ATTENTIVE_NORMAL,0,0,0,0,1,38,1
P05_medical1,93.821,56.034,ATTENTIVE_NORMAL,0,0,0,0,1,38,1
P05_medical1,94.823,57.036,ATTENTIVE_NORMAL,0,0,0,0,1,38,1
P05_medical1,95.898,58.111,ATTENTIVE_NORMAL,0,0,0,0,1,38,1
P05_medical1,97.056,59.269,DISTRACTION_CONFIRMED,0,0,0,0,1,38,1
P05_medical1,98.18,60.393,ATTENTIVE_NORMAL,0,0,0,0,1,38,1
P05_medical1,99.334,61.547,DISTRACTION_CONFIRMED,0,0,0,0,1,38.2,1
P05_medical1,100.453,62.666,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,38.4,1
P05_medical1,101.613,63.826,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,38.8,1
P05_medical1,102.619,64.832,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,39.6,1
P05_medical1,103.659,65.872,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,39.8,1
P05_medical1,104.814,67.027,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,40,1
