ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,MedicalEmergencyConfirmed,CriticalUnresponsive,HazardRequest,BrakeRequest,FaceFound,SpeedDisplayKmh,AlertsEnabled
P10_medical,41.006,0,ATTENTIVE_NORMAL,0,0,0,0,1,0,0
P10_medical,42.094,1.088,ATTENTIVE_NORMAL,0,0,0,0,1,1,0
P10_medical,43.107,2.101,ATTENTIVE_NORMAL,0,0,0,0,1,2.2,0
P10_medical,44.18,3.174,ATTENTIVE_NORMAL,0,0,0,0,1,3.6,0
P10_medical,45.192,4.186,ATTENTIVE_NORMAL,0,0,0,0,1,5.2,0
P10_medical,46.237,5.231,ATTENTIVE_NORMAL,0,0,0,0,1,6.8,0
P10_medical,47.238,6.232,ATTENTIVE_NORMAL,0,0,0,0,1,7.4,0
P10_medical,48.273,7.267,ATTENTIVE_NORMAL,0,0,0,0,1,7.6,0
P10_medical,49.277,8.271,ATTENTIVE_NORMAL,0,0,0,0,1,7.6,0
P10_medical,50.305,9.299,ATTENTIVE_NORMAL,0,0,0,0,1,7.6,0
P10_medical,51.366,10.36,ATTENTIVE_NORMAL,0,0,0,0,1,8.2,0
P10_medical,52.442,11.436,ATTENTIVE_NORMAL,0,0,0,0,1,8.8,0
P10_medical,53.489,12.483,ATTENTIVE_NORMAL,0,0,0,0,1,9.6,0
P10_medical,54.49,13.484,ATTENTIVE_NORMAL,0,0,0,0,1,11.2,1
P10_medical,55.538,14.532,ATTENTIVE_NORMAL,0,0,0,0,1,12.8,1
P10_medical,56.584,15.578,ATTENTIVE_NORMAL,0,0,0,0,1,15.2,1
P10_medical,57.699,16.693,ATTENTIVE_NORMAL,0,0,0,0,1,19.8,1
P10_medical,58.833,17.827,ATTENTIVE_NORMAL,0,0,0,0,1,25,1
P10_medical,60.004,18.998,ATTENTIVE_NORMAL,0,0,0,0,1,32,1
P10_medical,61.05,20.044,ATTENTIVE_NORMAL,0,0,0,0,1,34.4,1
P10_medical,62.078,21.072,ATTENTIVE_NORMAL,0,0,0,0,1,35,1
P10_medical,63.087,22.081,ATTENTIVE_NORMAL,0,0,0,0,1,35.2,1
P10_medical,64.092,23.086,ATTENTIVE_NORMAL,0,0,0,0,1,36.2,1
P10_medical,65.209,24.203,ATTENTIVE_NORMAL,0,0,0,0,1,37.8,1
P10_medical,66.21,25.204,ATTENTIVE_NORMAL,0,0,0,0,1,39.2,1
P10_medical,67.363,26.357,DISTRACTION_CONFIRMED,0,0,0,0,1,40.4,1
P10_medical,68.441,27.435,ATTENTIVE_NORMAL,0,0,0,0,1,41.2,1
P10_medical,69.457,28.451,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,41.2,1
P10_medical,70.487,29.481,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,41.2,1
P10_medical,71.528,30.522,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,41,1
P10_medical,72.577,31.571,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,41,1
P10_medical,73.711,32.705,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,41,1
P10_medical,74.714,33.708,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,40.8,1
P10_medical,75.829,34.823,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,40.6,1
P10_medical,76.861,35.855,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,40.4,1
P10_medical,77.925,36.919,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,40,1
P10_medical,78.932,37.926,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,40,1
P10_medical,79.958,38.952,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,40,1
P10_medical,81.009,40.003,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,40,1
P10_medical,82.033,41.027,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,40,1
P10_medical,83.113,42.107,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,40,1
P10_medical,84.258,43.252,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,40,1
P10_medical,85.3,44.294,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,40,1
P10_medical,86.326,45.32,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,40,1
P10_medical,87.329,46.323,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,40,1
P10_medical,88.375,47.369,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,40,1
P10_medical,89.431,48.425,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,40,1
P10_medical,90.434,49.428,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,40,1
P10_medical,91.452,50.446,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,40,1
P10_medical,92.497,51.491,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,40,1
P10_medical,93.501,52.495,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,40,1
P10_medical,94.581,53.575,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,40,1
P10_medical,95.617,54.611,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,39.8,1
P10_medical,96.757,55.751,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,38.2,1
P10_medical,97.853,56.847,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,37.2,1
P10_medical,98.987,57.981,ATTENTIVE_NORMAL,0,0,0,0,1,36.2,1
P10_medical,100.008,59.002,ATTENTIVE_NORMAL,0,0,0,0,1,35.4,1
P10_medical,101.085,60.079,ATTENTIVE_NORMAL,0,0,0,0,1,35,1
P10_medical,102.172,61.166,ATTENTIVE_NORMAL,0,0,0,0,1,34.8,1
P10_medical,103.295,62.289,ATTENTIVE_NORMAL,0,0,0,0,1,34.8,1
P10_medical,104.353,63.347,ATTENTIVE_NORMAL,0,0,0,0,1,34.8,1
P10_medical,105.41,64.404,ATTENTIVE_NORMAL,0,0,0,0,1,34.6,1
P10_medical,106.416,65.41,DISTRACTION_CONFIRMED,0,0,0,0,1,34.6,1
P10_medical,107.527,66.521,DISTRACTION_CONFIRMED,0,0,0,0,1,34.4,1
P10_medical,108.558,67.552,DISTRACTION_CONFIRMED,0,0,0,0,1,34.2,1
P10_medical,109.577,68.571,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,34,1
P10_medical,110.677,69.671,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,34,1
P10_medical,111.696,70.69,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,33.4,1
P10_medical,112.746,71.74,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,32.8,1
P10_medical,113.79,72.784,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,32.4,1
P10_medical,114.847,73.841,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,32,1
P10_medical,115.936,74.93,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,32,1
P10_medical,117.086,76.08,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,32,1
P10_medical,118.095,77.089,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,1,32.2,1
P10_medical,119.105,78.099,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,32.2,1
P10_medical,120.16,79.154,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,32.2,1
P10_medical,121.166,80.16,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,32,1
P10_medical,122.263,81.257,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,32,1
P10_medical,123.281,82.275,MEDICAL_EMERGENCY_RESPONSE,1,1,1,1,1,32,1
