ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDrowsinessFlag,DrowsyEventCount,YawnCandidateActive,YawningEventCount,FrequentYawningAlert,SpeedDisplayKmh,AlertsEnabled
P07_drowsiness,83.737,0,ATTENTIVE_NORMAL,0,0,0,0,0,0,0
P07_drowsiness,84.755,1.018,ATTENTIVE_NORMAL,0,0,0,0,0,1.2,0
P07_drowsiness,85.77,2.033,ATTENTIVE_NORMAL,0,0,0,0,0,2.4,0
P07_drowsiness,86.793,3.056,ATTENTIVE_NORMAL,0,0,0,0,0,3.8,0
P07_drowsiness,87.836,4.099,ATTENTIVE_NORMAL,0,0,0,0,0,5.2,0
P07_drowsiness,88.963,5.226,ATTENTIVE_NORMAL,0,0,0,0,0,6.8,0
P07_drowsiness,89.976,6.239,ATTENTIVE_NORMAL,0,0,0,0,0,7.2,0
P07_drowsiness,91.048,7.311,ATTENTIVE_NORMAL,0,0,0,0,0,8.4,0
P07_drowsiness,92.058,8.321,ATTENTIVE_NORMAL,0,0,0,0,0,10.2,1
P07_drowsiness,93.095,9.358,ATTENTIVE_NORMAL,0,0,0,0,0,13.8,1
P07_drowsiness,94.188,10.451,ATTENTIVE_NORMAL,0,0,0,0,0,17.6,1
P07_drowsiness,95.208,11.471,ATTENTIVE_NORMAL,0,0,0,0,0,22.8,1
P07_drowsiness,96.209,12.472,ATTENTIVE_NORMAL,0,0,0,0,0,27.6,1
P07_drowsiness,97.29,13.553,DISTRACTION_CONFIRMED,1,0,0,0,0,31,1
P07_drowsiness,98.419,14.682,DISTRACTION_CONFIRMED,1,0,0,0,0,32.8,1
P07_drowsiness,99.556,15.819,DISTRACTION_CONFIRMED,1,0,0,0,0,34.6,1
P07_drowsiness,100.724,16.987,DISTRACTION_CONFIRMED,1,0,0,0,0,35.6,1
P07_drowsiness,101.821,18.084,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,36.8,1
P07_drowsiness,102.95,19.213,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,37.6,1
P07_drowsiness,104.057,20.32,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,38.6,1
P07_drowsiness,105.207,21.47,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,39,1
P07_drowsiness,106.236,22.499,FATIGUE_DROWSINESS_EVENT,0,1,0,0,0,39,1
P07_drowsiness,107.25,23.513,ATTENTIVE_NORMAL,0,1,0,0,0,38.8,1
P07_drowsiness,108.27,24.533,ATTENTIVE_NORMAL,0,1,0,0,0,38.6,1
P07_drowsiness,109.352,25.615,DISTRACTION_CONFIRMED,1,1,0,0,0,39.2,1
P07_drowsiness,110.468,26.731,DISTRACTION_CONFIRMED,1,1,0,0,0,40.8,1
P07_drowsiness,111.472,27.735,DISTRACTION_CONFIRMED,1,1,0,0,0,44.4,1
P07_drowsiness,112.55,28.813,DISTRACTION_CONFIRMED,1,1,0,0,0,48.4,1
P07_drowsiness,113.67,29.933,DISTRACTION_CONFIRMED,1,1,0,0,0,56.6,1
P07_drowsiness,114.821,31.084,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,58.8,1
P07_drowsiness,115.938,32.201,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,58,1
P07_drowsiness,117.09,33.353,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,56.8,1
P07_drowsiness,118.186,34.449,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,55.2,1
P07_drowsiness,119.323,35.586,FATIGUE_DROWSINESS_EVENT,0,2,0,0,0,52.2,1
P07_drowsiness,120.341,36.604,ATTENTIVE_NORMAL,0,2,0,0,0,51.8,1
P07_drowsiness,121.458,37.721,ATTENTIVE_NORMAL,0,2,0,0,0,51.2,1
P07_drowsiness,122.597,38.86,ATTENTIVE_NORMAL,1,2,0,0,0,50,1
P07_drowsiness,123.697,39.96,DISTRACTION_CONFIRMED,1,2,0,0,0,48.6,1
