ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDrowsinessFlag,DrowsyEventCount,YawnCandidateActive,YawningEventCount,FrequentYawningAlert,SpeedDisplayKmh,AlertsEnabled
P04_drowsiness,66.108,0,ATTENTIVE_NORMAL,0,0,0,0,0,0,0
P04_drowsiness,67.119,1.011,ATTENTIVE_NORMAL,0,0,0,0,0,0,0
P04_drowsiness,68.264,2.156,ATTENTIVE_NORMAL,0,0,0,0,0,2.8,0
P04_drowsiness,69.28,3.172,ATTENTIVE_NORMAL,0,0,0,0,0,4.8,0
P04_drowsiness,70.283,4.175,ATTENTIVE_NORMAL,0,0,0,0,0,6.8,0
P04_drowsiness,71.308,5.2,ATTENTIVE_NORMAL,0,0,0,0,0,9.6,0
P04_drowsiness,72.434,6.326,ATTENTIVE_NORMAL,0,0,0,0,0,12.6,1
P04_drowsiness,73.446,7.338,ATTENTIVE_NORMAL,1,0,0,0,0,15.4,1
P04_drowsiness,74.498,8.39,ATTENTIVE_NORMAL,1,0,0,0,0,17.4,1
P04_drowsiness,75.636,9.528,ATTENTIVE_NORMAL,1,0,0,0,0,19.2,1
P04_drowsiness,76.761,10.653,DISTRACTION_CONFIRMED,1,0,0,0,0,19.6,1
P04_drowsiness,77.931,11.823,DISTRACTION_CONFIRMED,1,0,0,0,0,19.2,1
P04_drowsiness,79.03,12.922,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,19,1
P04_drowsiness,80.168,14.06,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,19,1
P04_drowsiness,81.196,15.088,FATIGUE_DROWSINESS_EVENT,0,1,0,0,0,19,1
P04_drowsiness,82.248,16.14,ATTENTIVE_NORMAL,0,1,0,0,0,19,1
P04_drowsiness,83.278,17.17,ATTENTIVE_NORMAL,0,1,0,0,0,19,1
P04_drowsiness,84.363,18.255,ATTENTIVE_NORMAL,0,1,0,0,0,19.4,1
P04_drowsiness,85.409,19.301,ATTENTIVE_NORMAL,0,1,0,0,0,20.2,1
P04_drowsiness,86.548,20.44,ATTENTIVE_NORMAL,1,1,0,0,0,20.8,1
P04_drowsiness,87.664,21.556,DISTRACTION_CONFIRMED,1,1,0,0,0,21.2,1
P04_drowsiness,88.806,22.698,DISTRACTION_CONFIRMED,1,1,0,0,0,21.4,1
P04_drowsiness,89.838,23.73,DISTRACTION_CONFIRMED,1,1,0,0,0,21.2,1
P04_drowsiness,90.856,24.748,DISTRACTION_CONFIRMED,1,1,0,0,0,20.6,1
P04_drowsiness,91.974,25.866,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,20,1
P04_drowsiness,93.081,26.973,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,20.2,1
P04_drowsiness,94.201,28.093,FATIGUE_DROWSINESS_EVENT,0,2,0,0,0,20.4,1
P04_drowsiness,95.213,29.105,ATTENTIVE_NORMAL,0,2,0,0,0,20.6,1
P04_drowsiness,96.236,30.128,ATTENTIVE_NORMAL,0,2,0,0,0,20.8,1
P04_drowsiness,97.253,31.145,ATTENTIVE_NORMAL,0,2,0,0,0,21,1
P04_drowsiness,98.27,32.162,ATTENTIVE_NORMAL,0,2,0,0,0,21,1
P04_drowsiness,99.315,33.207,ATTENTIVE_NORMAL,0,2,0,0,0,21,1
P04_drowsiness,100.335,34.227,DISTRACTION_CONFIRMED,0,2,0,0,0,21,1
