ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDrowsinessFlag,DrowsyEventCount,YawnCandidateActive,YawningEventCount,FrequentYawningAlert,SpeedDisplayKmh,AlertsEnabled
P02_drowsiness,41.574,0,ATTENTIVE_NORMAL,0,0,0,0,0,0,0
P02_drowsiness,42.592,1.018,ATTENTIVE_NORMAL,1,0,0,0,0,1.2,0
P02_drowsiness,43.599,2.025,ATTENTIVE_NORMAL,0,0,0,0,0,2.6,0
P02_drowsiness,44.615,3.041,ATTENTIVE_NORMAL,0,0,0,0,0,5.8,0
P02_drowsiness,45.644,4.07,ATTENTIVE_NORMAL,1,0,0,0,0,7.4,0
P02_drowsiness,46.665,5.091,ATTENTIVE_NORMAL,1,0,0,0,0,8.2,0
P02_drowsiness,47.68,6.106,ATTENTIVE_NORMAL,1,0,0,0,0,10.4,1
P02_drowsiness,48.728,7.154,ATTENTIVE_NORMAL,1,0,0,0,0,13.4,1
P02_drowsiness,49.755,8.181,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,15.6,1
P02_drowsiness,50.776,9.202,FATIGUE_DROWSINESS_EVENT,0,1,0,0,0,18.2,1
P02_drowsiness,51.787,10.213,ATTENTIVE_NORMAL,1,1,0,0,0,20.6,1
P02_drowsiness,52.908,11.334,DISTRACTION_CONFIRMED,1,1,0,0,0,21.2,1
P02_drowsiness,53.911,12.337,DISTRACTION_CONFIRMED,1,1,0,0,0,20.4,1
P02_drowsiness,55.077,13.503,DISTRACTION_CONFIRMED,1,1,0,0,0,20.6,1
P02_drowsiness,56.115,14.541,DISTRACTION_CONFIRMED,1,1,0,0,0,20.6,1
P02_drowsiness,57.195,15.621,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,20.8,1
P02_drowsiness,58.365,16.791,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,21.4,1
P02_drowsiness,59.389,17.815,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,22.2,1
P02_drowsiness,60.485,18.911,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,22.4,1
P02_drowsiness,61.6,20.026,FATIGUE_DROWSINESS_EVENT,0,2,0,0,0,22.4,1
P02_drowsiness,62.627,21.053,ATTENTIVE_NORMAL,0,2,0,0,0,22.4,1
P02_drowsiness,63.635,22.061,ATTENTIVE_NORMAL,0,2,0,0,0,22.2,1
P02_drowsiness,64.761,23.187,ATTENTIVE_NORMAL,1,2,0,0,0,22,1
P02_drowsiness,65.767,24.193,DISTRACTION_CONFIRMED,1,2,0,0,0,22,1
P02_drowsiness,66.898,25.324,DISTRACTION_CONFIRMED,1,2,0,0,0,22,1
P02_drowsiness,67.911,26.337,DISTRACTION_CONFIRMED,1,2,0,0,0,22,1
P02_drowsiness,68.994,27.42,DISTRACTION_CONFIRMED,1,2,0,0,0,22,1
P02_drowsiness,70.013,28.439,FATIGUE_DROWSINESS_CONFIRMED,1,2,0,0,0,22,1
P02_drowsiness,71.104,29.53,FATIGUE_DROWSINESS_CONFIRMED,1,2,0,0,0,22,1
P02_drowsiness,72.122,30.548,FATIGUE_DROWSINESS_CONFIRMED,1,2,0,0,0,22,1
P02_drowsiness,73.205,31.631,FATIGUE_DROWSINESS_EVENT,0,3,0,0,0,22,1
P02_drowsiness,74.223,32.649,ATTENTIVE_NORMAL,0,3,0,0,0,22,1
P02_drowsiness,75.279,33.705,ATTENTIVE_NORMAL,0,3,0,0,0,22,1
P02_drowsiness,76.301,34.727,ATTENTIVE_NORMAL,0,3,0,0,0,22,1
P02_drowsiness,77.311,35.737,ATTENTIVE_NORMAL,0,3,0,0,0,22,1
P02_drowsiness,78.434,36.86,ATTENTIVE_NORMAL,0,3,0,0,0,22,1
P02_drowsiness,79.51,37.936,ATTENTIVE_NORMAL,0,3,0,0,0,22,1
P02_drowsiness,80.522,38.948,ATTENTIVE_NORMAL,0,3,0,0,0,22,1
P02_drowsiness,81.562,39.988,ATTENTIVE_NORMAL,0,3,0,0,0,22.2,1
P02_drowsiness,82.641,41.067,ATTENTIVE_NORMAL,0,3,0,0,0,22.2,1
P02_drowsiness,83.675,42.101,ATTENTIVE_NORMAL,0,3,0,0,0,22.2,1
P02_drowsiness,84.694,43.12,ATTENTIVE_NORMAL,0,3,0,0,0,22.2,1
P02_drowsiness,85.702,44.128,ATTENTIVE_NORMAL,0,3,0,0,0,22.2,1
P02_drowsiness,86.752,45.178,ATTENTIVE_NORMAL,0,3,0,0,0,22,1
P02_drowsiness,87.794,46.22,ATTENTIVE_NORMAL,0,3,0,0,0,22,1
P02_drowsiness,88.809,47.235,ATTENTIVE_NORMAL,0,3,0,0,0,22,1
