ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDrowsinessFlag,DrowsyEventCount,YawnCandidateActive,YawningEventCount,FrequentYawningAlert,SpeedDisplayKmh,AlertsEnabled
P08_drowsiness,41.372,0,ATTENTIVE_NORMAL,0,0,0,0,0,0,0
P08_drowsiness,42.487,1.115,ATTENTIVE_NORMAL,0,0,0,0,0,1.2,0
P08_drowsiness,43.539,2.167,ATTENTIVE_NORMAL,0,0,0,0,0,4.4,0
P08_drowsiness,44.56,3.188,ATTENTIVE_NORMAL,0,0,0,0,0,6.2,0
P08_drowsiness,45.694,4.322,ATTENTIVE_NORMAL,1,0,0,0,0,8,0
P08_drowsiness,46.697,5.325,ATTENTIVE_NORMAL,1,0,0,0,0,8.6,0
P08_drowsiness,47.737,6.365,ATTENTIVE_NORMAL,1,0,0,0,0,8.8,0
P08_drowsiness,48.868,7.496,DISTRACTION_CONFIRMED,1,0,0,0,0,9,0
P08_drowsiness,49.984,8.612,DISTRACTION_CONFIRMED,0,0,0,0,0,9,0
P08_drowsiness,51.037,9.665,ATTENTIVE_NORMAL,0,0,0,0,0,10.6,1
P08_drowsiness,52.049,10.677,ATTENTIVE_NORMAL,0,0,0,0,0,12.4,1
P08_drowsiness,53.126,11.754,ATTENTIVE_NORMAL,0,0,0,0,0,14,1
P08_drowsiness,54.241,12.869,ATTENTIVE_NORMAL,0,0,0,0,0,16.2,1
P08_drowsiness,55.325,13.953,ATTENTIVE_NORMAL,1,0,0,0,0,18.4,1
P08_drowsiness,56.372,15,DISTRACTION_CONFIRMED,1,0,0,0,0,20.4,1
P08_drowsiness,57.405,16.033,DISTRACTION_CONFIRMED,1,0,0,0,0,22.6,1
P08_drowsiness,58.577,17.205,DISTRACTION_CONFIRMED,1,0,0,0,0,26.2,1
P08_drowsiness,59.684,18.312,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,27,1
P08_drowsiness,60.814,19.442,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,27.2,1
P08_drowsiness,61.926,20.554,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,26.6,1
P08_drowsiness,63.07,21.698,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,26.2,1
P08_drowsiness,64.169,22.797,FATIGUE_DROWSINESS_EVENT,0,1,0,0,0,25.6,1
P08_drowsiness,65.205,23.833,ATTENTIVE_NORMAL,0,1,0,0,0,24.6,1
P08_drowsiness,66.324,24.952,ATTENTIVE_NORMAL,1,1,0,0,0,23.6,1
P08_drowsiness,67.358,25.986,ATTENTIVE_NORMAL,1,1,0,0,0,22.4,1
P08_drowsiness,68.42,27.048,ATTENTIVE_NORMAL,1,1,0,0,0,21.2,1
P08_drowsiness,69.526,28.154,ATTENTIVE_NORMAL,1,1,0,0,0,20.4,1
P08_drowsiness,70.661,29.289,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,20.4,1
P08_drowsiness,71.785,30.413,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,20.6,1
P08_drowsiness,72.921,31.549,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,20.8,1
P08_drowsiness,73.971,32.599,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,21,1
P08_drowsiness,75.014,33.642,FATIGUE_DROWSINESS_EVENT,0,2,0,0,0,21,1
P08_drowsiness,76.061,34.689,ATTENTIVE_NORMAL,0,2,0,0,0,21.8,1
P08_drowsiness,77.078,35.706,ATTENTIVE_NORMAL,0,2,0,0,0,23.2,1
P08_drowsiness,78.168,36.796,ATTENTIVE_NORMAL,0,2,0,0,0,26.4,1
P08_drowsiness,79.303,37.931,DISTRACTION_CONFIRMED,1,2,0,0,0,27.8,1
P08_drowsiness,80.413,39.041,DISTRACTION_CONFIRMED,1,2,0,0,0,28.4,1
P08_drowsiness,81.414,40.042,DISTRACTION_CONFIRMED,1,2,0,0,0,27.8,1
P08_drowsiness,82.495,41.123,DISTRACTION_CONFIRMED,1,2,0,0,0,26.8,1
P08_drowsiness,83.624,42.252,FATIGUE_DROWSINESS_CONFIRMED,1,2,0,0,0,26,1
P08_drowsiness,84.776,43.404,FATIGUE_DROWSINESS_CONFIRMED,1,2,0,0,0,25,1
P08_drowsiness,85.883,44.511,FATIGUE_DROWSINESS_CONFIRMED,1,2,0,0,0,25,1
P08_drowsiness,86.902,45.53,FATIGUE_DROWSINESS_EVENT,0,3,0,0,0,25,1
P08_drowsiness,87.951,46.579,ATTENTIVE_NORMAL,0,3,0,0,0,24.8,1
P08_drowsiness,89.055,47.683,ATTENTIVE_NORMAL,0,3,0,0,0,24.4,1
P08_drowsiness,90.076,48.704,ATTENTIVE_NORMAL,0,3,0,0,0,24,1
P08_drowsiness,91.092,49.72,ATTENTIVE_NORMAL,0,3,0,0,0,23.4,1
P08_drowsiness,92.11,50.738,ATTENTIVE_NORMAL,0,3,1,0,0,23,1
P08_drowsiness,93.135,51.763,ATTENTIVE_NORMAL,0,3,1,0,0,22.2,1
P08_drowsiness,94.212,52.84,ATTENTIVE_NORMAL,0,3,1,0,0,22,1
P08_drowsiness,95.22,53.848,ATTENTIVE_NORMAL,0,3,0,1,0,22,1
P08_drowsiness,96.301,54.929,ATTENTIVE_NORMAL,1,3,0,1,0,22,1
P08_drowsiness,97.316,55.944,ATTENTIVE_NORMAL,0,3,0,1,0,22,1
P08_drowsiness,98.375,57.003,ATTENTIVE_NORMAL,0,3,1,1,0,22,1
P08_drowsiness,99.392,58.02,ATTENTIVE_NORMAL,0,3,1,1,0,22,1
P08_drowsiness,100.428,59.056,ATTENTIVE_NORMAL,0,3,1,1,0,22,1
P08_drowsiness,101.555,60.183,ATTENTIVE_NORMAL,0,3,0,2,0,22,1
P08_drowsiness,102.594,61.222,ATTENTIVE_NORMAL,0,3,0,2,0,22,1
P08_drowsiness,103.633,62.261,ATTENTIVE_NORMAL,1,3,0,2,0,22,1
