ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDrowsinessFlag,DrowsyEventCount,YawnCandidateActive,YawningEventCount,FrequentYawningAlert,SpeedDisplayKmh,AlertsEnabled
P05_drowsiness,14.31,0,ATTENTIVE_NORMAL,0,0,0,0,0,0,0
P05_drowsiness,15.356,1.046,ATTENTIVE_NORMAL,0,0,0,0,0,2.6,0
P05_drowsiness,16.404,2.094,ATTENTIVE_NORMAL,0,0,0,0,0,4.2,0
P05_drowsiness,17.409,3.099,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,0,5.8,0
P05_drowsiness,18.422,4.112,FATIGUE_DROWSINESS_CONFIRMED,0,0,0,0,0,7.4,0
P05_drowsiness,19.503,5.193,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,8,0
P05_drowsiness,20.584,6.274,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,8.8,0
P05_drowsiness,21.596,7.286,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,10,1
P05_drowsiness,22.721,8.411,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,12,1
P05_drowsiness,23.782,9.472,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,13.8,1
P05_drowsiness,24.884,10.574,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,16.8,1
P05_drowsiness,26.037,11.727,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,17.6,1
P05_drowsiness,27.083,12.773,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,17.6,1
P05_drowsiness,28.125,13.815,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,17.8,1
P05_drowsiness,29.125,14.815,FATIGUE_DROWSINESS_EVENT,0,1,0,0,0,18,1
P05_drowsiness,30.138,15.828,ATTENTIVE_NORMAL,0,1,0,0,0,18.2,1
P05_drowsiness,31.26,16.95,ATTENTIVE_NORMAL,0,1,0,0,0,18.4,1
P05_drowsiness,32.306,17.996,ATTENTIVE_NORMAL,0,1,0,0,0,18.8,1
P05_drowsiness,33.33,19.02,ATTENTIVE_NORMAL,0,1,0,0,0,19,1
P05_drowsiness,34.343,20.033,ATTENTIVE_NORMAL,0,1,0,0,0,19,1
P05_drowsiness,35.349,21.039,ATTENTIVE_NORMAL,1,1,0,0,0,19,1
P05_drowsiness,36.494,22.184,DISTRACTION_CONFIRMED,1,1,0,0,0,19,1
P05_drowsiness,37.561,23.251,DISTRACTION_CONFIRMED,1,1,0,0,0,19,1
P05_drowsiness,38.6,24.29,DISTRACTION_CONFIRMED,1,1,0,0,0,19,1
P05_drowsiness,39.727,25.417,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,19,1
P05_drowsiness,40.844,26.534,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,19,1
P05_drowsiness,41.856,27.546,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,19,1
P05_drowsiness,42.921,28.611,FATIGUE_DROWSINESS_EVENT,0,2,0,0,0,19,1
P05_drowsiness,43.986,29.676,ATTENTIVE_NORMAL,0,2,0,0,0,19,1
P05_drowsiness,45.007,30.697,ATTENTIVE_NORMAL,0,2,0,0,0,19,1
P05_drowsiness,46.123,31.813,ATTENTIVE_NORMAL,1,2,0,0,0,19.2,1
P05_drowsiness,47.133,32.823,ATTENTIVE_NORMAL,0,2,0,0,0,19.4,1
P05_drowsiness,48.153,33.843,ATTENTIVE_NORMAL,0,2,0,0,0,19.8,1
P05_drowsiness,49.288,34.978,ATTENTIVE_NORMAL,0,2,0,0,0,20.2,1
P05_drowsiness,50.373,36.063,ATTENTIVE_NORMAL,0,2,0,0,0,20.8,1
P05_drowsiness,51.47,37.16,ATTENTIVE_NORMAL,1,2,0,0,0,21,1
P05_drowsiness,52.601,38.291,DISTRACTION_CONFIRMED,1,2,0,0,0,21,1
P05_drowsiness,53.721,39.411,DISTRACTION_CONFIRMED,1,2,0,0,0,21,1
P05_drowsiness,54.852,40.542,DISTRACTION_CONFIRMED,1,2,0,0,0,21,1
P05_drowsiness,55.953,41.643,FATIGUE_DROWSINESS_CONFIRMED,1,2,0,0,0,21,1
P05_drowsiness,57.11,42.8,FATIGUE_DROWSINESS_CONFIRMED,1,2,0,0,0,21,1
P05_drowsiness,58.232,43.922,FATIGUE_DROWSINESS_CONFIRMED,1,2,0,0,0,21,1
P05_drowsiness,59.26,44.95,FATIGUE_DROWSINESS_EVENT,0,3,0,0,0,21,1
P05_drowsiness,60.296,45.986,ATTENTIVE_NORMAL,0,3,0,0,0,21,1
P05_drowsiness,61.428,47.118,ATTENTIVE_NORMAL,0,3,0,0,0,21,1
P05_drowsiness,62.464,48.154,ATTENTIVE_NORMAL,0,3,0,0,0,21,1
P05_drowsiness,63.494,49.184,ATTENTIVE_NORMAL,0,3,0,0,0,21,1
P05_drowsiness,64.494,50.184,ATTENTIVE_NORMAL,1,3,0,0,0,21,1
P05_drowsiness,65.505,51.195,ATTENTIVE_NORMAL,0,3,0,0,0,21,1
P05_drowsiness,66.599,52.289,ATTENTIVE_NORMAL,0,3,0,0,0,21,1
P05_drowsiness,67.63,53.32,ATTENTIVE_NORMAL,0,3,0,0,0,21,1
P05_drowsiness,68.687,54.377,ATTENTIVE_NORMAL,1,3,0,0,0,21,1
P05_drowsiness,69.802,55.492,ATTENTIVE_NORMAL,0,3,0,0,0,21,1
P05_drowsiness,70.822,56.512,ATTENTIVE_NORMAL,1,3,0,0,0,21,1
P05_drowsiness,71.833,57.523,ATTENTIVE_NORMAL,1,3,0,0,0,21,1
P05_drowsiness,72.833,58.523,ATTENTIVE_NORMAL,1,3,0,0,0,21,1
P05_drowsiness,73.866,59.556,ATTENTIVE_NORMAL,1,3,0,0,0,21.2,1
P05_drowsiness,74.955,60.645,ATTENTIVE_NORMAL,1,3,0,0,0,21.2,1
P05_drowsiness,75.996,61.686,FATIGUE_DROWSINESS_CONFIRMED,1,3,0,0,0,21.8,1
P05_drowsiness,77.027,62.717,FATIGUE_DROWSINESS_CONFIRMED,1,3,0,0,0,22.4,1
P05_drowsiness,78.069,63.759,FATIGUE_DROWSINESS_CONFIRMED,1,3,1,0,0,23,1
P05_drowsiness,79.095,64.785,FATIGUE_DROWSINESS_EVENT,0,4,0,0,0,23.4,1
P05_drowsiness,80.144,65.834,ATTENTIVE_NORMAL,0,4,0,0,0,24,1
P05_drowsiness,81.227,66.917,ATTENTIVE_NORMAL,0,4,0,0,0,24,1
P05_drowsiness,82.24,67.93,ATTENTIVE_NORMAL,0,4,0,0,0,24,1
P05_drowsiness,83.241,68.931,ATTENTIVE_NORMAL,0,4,0,0,0,23.8,1
P05_drowsiness,84.272,69.962,ATTENTIVE_NORMAL,1,4,1,0,0,23.6,1
P05_drowsiness,85.375,71.065,DISTRACTION_CONFIRMED,1,4,1,0,0,23.4,1
P05_drowsiness,86.377,72.067,ATTENTIVE_NORMAL,1,4,1,0,0,23.2,1
P05_drowsiness,87.391,73.081,ATTENTIVE_NORMAL,1,4,1,0,0,23.2,1
P05_drowsiness,88.402,74.092,ATTENTIVE_NORMAL,1,4,1,0,0,23.2,1
P05_drowsiness,89.425,75.115,FATIGUE_DROWSINESS_CONFIRMED,1,4,0,1,0,23.2,1
P05_drowsiness,90.508,76.198,FATIGUE_DROWSINESS_CONFIRMED,1,4,0,1,0,23,1
P05_drowsiness,91.531,77.221,FATIGUE_DROWSINESS_CONFIRMED,1,4,0,1,0,23,1
P05_drowsiness,92.673,78.363,FATIGUE_DROWSINESS_EVENT,0,5,0,1,0,23.2,1
P05_drowsiness,93.797,79.487,ATTENTIVE_NORMAL,0,5,0,1,0,23.6,1
P05_drowsiness,94.822,80.512,ATTENTIVE_NORMAL,0,5,0,1,0,23.8,1
P05_drowsiness,95.885,81.575,ATTENTIVE_NORMAL,0,5,0,1,0,24,1
P05_drowsiness,96.897,82.587,ATTENTIVE_NORMAL,0,5,0,1,0,24,1
P05_drowsiness,97.962,83.652,ATTENTIVE_NORMAL,1,5,1,1,0,24,1
P05_drowsiness,98.968,84.658,ATTENTIVE_NORMAL,1,5,1,1,0,24,1
P05_drowsiness,100.066,85.756,ATTENTIVE_NORMAL,1,5,1,1,0,24,1
P05_drowsiness,101.088,86.778,ATTENTIVE_NORMAL,1,5,1,1,0,24,1
P05_drowsiness,102.11,87.8,ATTENTIVE_NORMAL,1,5,1,1,0,24,1
P05_drowsiness,103.251,88.941,FATIGUE_DROWSINESS_CONFIRMED,1,5,0,2,0,24,1
P05_drowsiness,104.264,89.954,FATIGUE_DROWSINESS_CONFIRMED,1,5,1,2,0,24,1
P05_drowsiness,105.306,90.996,FATIGUE_DROWSINESS_EVENT,0,6,0,2,0,24,1
P05_drowsiness,106.43,92.12,ATTENTIVE_NORMAL,1,6,0,2,0,24,1
P05_drowsiness,107.504,93.194,ATTENTIVE_NORMAL,1,6,0,2,0,24,1
P05_drowsiness,108.543,94.233,ATTENTIVE_NORMAL,1,6,0,2,0,24,1
P05_drowsiness,109.572,95.262,ATTENTIVE_NORMAL,0,6,0,2,0,24,1
P05_drowsiness,110.59,96.28,ATTENTIVE_NORMAL,1,6,0,2,0,24,1
P05_drowsiness,111.669,97.359,ATTENTIVE_NORMAL,1,6,0,2,0,23.8,1
P05_drowsiness,112.709,98.399,ATTENTIVE_NORMAL,0,6,0,2,0,23.8,1
P05_drowsiness,113.718,99.408,ATTENTIVE_NORMAL,1,6,0,2,0,23.8,1
P05_drowsiness,114.719,100.409,ATTENTIVE_NORMAL,1,6,1,2,0,23.8,1
P05_drowsiness,115.73,101.42,ATTENTIVE_NORMAL,1,6,1,2,0,23.4,1
P05_drowsiness,116.815,102.505,ATTENTIVE_NORMAL,1,6,1,2,0,23.2,1
P05_drowsiness,117.819,103.509,ATTENTIVE_NORMAL,1,6,1,2,0,22.8,1
P05_drowsiness,118.839,104.529,FATIGUE_DROWSINESS_CONFIRMED,1,6,0,3,0,22.4,1
P05_drowsiness,119.886,105.576,FATIGUE_DROWSINESS_CONFIRMED,1,6,0,3,0,22.2,1
P05_drowsiness,121.005,106.695,FATIGUE_DROWSINESS_CONFIRMED,1,6,0,3,0,22.6,1
P05_drowsiness,122.16,107.85,FATIGUE_DROWSINESS_CONFIRMED,1,6,0,3,0,24.2,1
P05_drowsiness,123.203,108.893,FATIGUE_DROWSINESS_CONFIRMED,1,6,0,3,0,24.6,1
P05_drowsiness,124.212,109.902,FATIGUE_DROWSINESS_CONFIRMED,1,6,0,3,0,24.4,1
P05_drowsiness,125.214,110.904,FATIGUE_DROWSINESS_EVENT,0,7,0,3,0,24,1
P05_drowsiness,126.342,112.032,ATTENTIVE_NORMAL,0,7,0,3,0,23,1
P05_drowsiness,127.391,113.081,ATTENTIVE_NORMAL,0,7,0,3,0,22,1
P05_drowsiness,128.449,114.139,ATTENTIVE_NORMAL,1,7,0,3,0,21.4,1
P05_drowsiness,129.501,115.191,ATTENTIVE_NORMAL,0,7,0,3,0,21.4,1
P05_drowsiness,130.502,116.192,ATTENTIVE_NORMAL,0,7,0,3,0,21.8,1
P05_drowsiness,131.546,117.236,ATTENTIVE_NORMAL,1,7,0,3,0,22.2,1
P05_drowsiness,132.551,118.241,ATTENTIVE_NORMAL,1,7,1,3,0,22.6,1
P05_drowsiness,133.595,119.285,ATTENTIVE_NORMAL,1,7,1,3,0,23.2,1
P05_drowsiness,134.599,120.289,ATTENTIVE_NORMAL,1,7,1,3,0,23.8,1
P05_drowsiness,135.67,121.36,ATTENTIVE_NORMAL,1,7,0,4,0,24.8,1
P05_drowsiness,136.812,122.502,FATIGUE_DROWSINESS_CONFIRMED,1,7,0,4,0,26,1
P05_drowsiness,137.836,123.526,FATIGUE_DROWSINESS_CONFIRMED,1,7,0,4,0,26.4,1
P05_drowsiness,138.92,124.61,FATIGUE_DROWSINESS_CONFIRMED,1,7,1,4,0,26,1
P05_drowsiness,139.948,125.638,FATIGUE_DROWSINESS_CONFIRMED,1,7,1,4,0,24.2,1
P05_drowsiness,140.957,126.647,FATIGUE_DROWSINESS_CONFIRMED,1,7,1,4,0,23,1
P05_drowsiness,142.048,127.738,FATIGUE_DROWSINESS_CONFIRMED,1,7,1,4,0,22.6,1
P05_drowsiness,143.072,128.762,FATIGUE_DROWSINESS_CONFIRMED,1,7,1,4,0,22.8,1
P05_drowsiness,144.124,129.814,FATIGUE_FREQUENT_YAWNING,1,7,0,5,1,23,1
P05_drowsiness,145.144,130.834,FATIGUE_FREQUENT_YAWNING,1,7,0,5,1,23,1
P05_drowsiness,146.202,131.892,MEDICAL_EMERGENCY_RESPONSE,1,7,0,5,1,23.2,1
P05_drowsiness,147.225,132.915,MEDICAL_EMERGENCY_RESPONSE,1,7,0,5,1,23.2,1
P05_drowsiness,148.24,133.93,MEDICAL_EMERGENCY_RESPONSE,1,7,0,5,1,22.8,1
P05_drowsiness,149.263,134.953,MEDICAL_EMERGENCY_RESPONSE,1,7,0,5,1,22.2,1
P05_drowsiness,150.327,136.017,MEDICAL_EMERGENCY_RESPONSE,1,7,0,5,1,21,1
P05_drowsiness,151.351,137.041,MEDICAL_EMERGENCY_RESPONSE,1,7,0,5,1,20.6,1
P05_drowsiness,152.411,138.101,MEDICAL_EMERGENCY_RESPONSE,0,8,0,5,1,20.6,1
P05_drowsiness,153.479,139.169,MEDICAL_EMERGENCY_RESPONSE,0,8,0,5,1,21,1
P05_drowsiness,154.48,140.17,MEDICAL_EMERGENCY_RESPONSE,1,8,0,5,1,21.4,1
P05_drowsiness,155.517,141.207,FATIGUE_FREQUENT_YAWNING,1,8,0,5,1,21.6,1
P05_drowsiness,156.549,142.239,FATIGUE_FREQUENT_YAWNING,1,8,0,5,1,21.8,1
P05_drowsiness,157.589,143.279,FATIGUE_FREQUENT_YAWNING,1,8,1,5,1,22,1
P05_drowsiness,158.607,144.297,FATIGUE_FREQUENT_YAWNING,1,8,1,5,1,22,1
P05_drowsiness,159.662,145.352,FATIGUE_FREQUENT_YAWNING,0,8,1,5,1,22,1
P05_drowsiness,160.664,146.354,FATIGUE_FREQUENT_YAWNING,0,8,1,5,1,22,1
P05_drowsiness,161.688,147.378,FATIGUE_FREQUENT_YAWNING,0,8,0,6,1,22,1
P05_drowsiness,162.75,148.44,FATIGUE_FREQUENT_YAWNING,0,8,0,6,1,22,1
P05_drowsiness,163.758,149.448,FATIGUE_FREQUENT_YAWNING,0,8,0,6,1,22,1
P05_drowsiness,164.791,150.481,FATIGUE_FREQUENT_YAWNING,1,8,0,6,1,22,1
