ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDrowsinessFlag,DrowsyEventCount,YawnCandidateActive,YawningEventCount,FrequentYawningAlert,SpeedDisplayKmh,AlertsEnabled
P03_drowsiness1,26.68,0,DISTRACTION_CONFIRMED,0,0,0,0,0,0,0
P03_drowsiness1,27.731,1.051,ATTENTIVE_NORMAL,0,0,0,0,0,1,0
P03_drowsiness1,28.764,2.084,ATTENTIVE_NORMAL,0,0,0,0,0,4,0
P03_drowsiness1,29.804,3.124,ATTENTIVE_NORMAL,0,0,0,0,0,6,0
P03_drowsiness1,30.829,4.149,ATTENTIVE_NORMAL,0,0,0,0,0,8.4,0
P03_drowsiness1,31.858,5.178,ATTENTIVE_NORMAL,0,0,0,0,0,12.2,1
P03_drowsiness1,32.862,6.182,ATTENTIVE_NORMAL,0,0,0,0,0,15.2,1
P03_drowsiness1,33.891,7.211,ATTENTIVE_NORMAL,0,0,0,0,0,17.4,1
P03_drowsiness1,35.007,8.327,ATTENTIVE_NORMAL,0,0,0,0,0,19.6,1
P03_drowsiness1,36.021,9.341,ATTENTIVE_NORMAL,0,0,0,0,0,22,1
P03_drowsiness1,37.023,10.343,DISTRACTION_CONFIRMED,0,0,0,0,0,23,1
P03_drowsiness1,38.146,11.466,DISTRACTION_CONFIRMED,1,0,0,0,0,24.8,1
P03_drowsiness1,39.196,12.516,DISTRACTION_CONFIRMED,1,0,0,0,0,28.6,1
P03_drowsiness1,40.313,13.633,DISTRACTION_CONFIRMED,1,0,0,0,0,29.2,1
P03_drowsiness1,41.358,14.678,DISTRACTION_CONFIRMED,1,0,0,0,0,29,1
P03_drowsiness1,42.459,15.779,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,28.2,1
P03_drowsiness1,43.512,16.832,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,27.6,1
P03_drowsiness1,44.648,17.968,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,27.2,1
P03_drowsiness1,45.661,18.981,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,26.4,1
P03_drowsiness1,46.763,20.083,FATIGUE_DROWSINESS_EVENT,0,1,0,0,0,25.6,1
P03_drowsiness1,47.782,21.102,ATTENTIVE_NORMAL,0,1,0,0,0,24.4,1
P03_drowsiness1,48.908,22.228,ATTENTIVE_NORMAL,0,1,0,0,0,22.8,1
P03_drowsiness1,49.923,23.243,ATTENTIVE_NORMAL,0,1,0,0,0,21.2,1
P03_drowsiness1,50.939,24.259,ATTENTIVE_NORMAL,0,1,0,0,0,20,1
P03_drowsiness1,51.945,25.265,ATTENTIVE_NORMAL,0,1,0,0,0,19.2,1
P03_drowsiness1,52.994,26.314,ATTENTIVE_NORMAL,0,1,0,0,0,18.8,1
P03_drowsiness1,53.996,27.316,DISTRACTION_CONFIRMED,0,1,0,0,0,18.8,1
P03_drowsiness1,55.124,28.444,DISTRACTION_CONFIRMED,1,1,0,0,0,19,1
P03_drowsiness1,56.135,29.455,DISTRACTION_CONFIRMED,1,1,0,0,0,19,1
P03_drowsiness1,57.251,30.571,DISTRACTION_CONFIRMED,1,1,0,0,0,19,1
P03_drowsiness1,58.256,31.576,DISTRACTION_CONFIRMED,1,1,0,0,0,19,1
P03_drowsiness1,59.276,32.596,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,19,1
P03_drowsiness1,60.408,33.728,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,19,1
P03_drowsiness1,61.417,34.737,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,19,1
P03_drowsiness1,62.526,35.846,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,19,1
P03_drowsiness1,63.55,36.87,FATIGUE_DROWSINESS_EVENT,0,2,0,0,0,19,1
