ExperimentName,ElapsedSeconds,Adjusted time,FinalSystemDecision,ConfirmedDrowsinessFlag,DrowsyEventCount,YawnCandidateActive,YawningEventCount,FrequentYawningAlert,SpeedDisplayKmh,AlertsEnabled
P09_drowsiness,22.477,0,ATTENTIVE_NORMAL,0,0,0,0,0,0,0
P09_drowsiness,23.498,1.021,ATTENTIVE_NORMAL,1,0,0,0,0,1,0
P09_drowsiness,24.505,2.028,ATTENTIVE_NORMAL,0,0,0,0,0,2.6,0
P09_drowsiness,25.621,3.144,ATTENTIVE_NORMAL,0,0,0,0,0,4.4,0
P09_drowsiness,26.663,4.186,DISTRACTION_CONFIRMED,0,0,0,0,0,8.4,0
P09_drowsiness,27.757,5.28,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,9.4,0
P09_drowsiness,28.815,6.338,ATTENTIVE_NORMAL,0,0,0,0,0,10,1
P09_drowsiness,29.886,7.409,ATTENTIVE_NORMAL,0,0,0,0,0,12.6,1
P09_drowsiness,31.011,8.534,ATTENTIVE_NORMAL,0,0,0,0,0,16.6,1
P09_drowsiness,32.049,9.572,ATTENTIVE_NORMAL,1,0,0,0,0,22,1
P09_drowsiness,33.161,10.684,DISTRACTION_CONFIRMED,1,0,0,0,0,27.2,1
P09_drowsiness,34.182,11.705,DISTRACTION_CONFIRMED,1,0,0,0,0,35.8,1
P09_drowsiness,35.34,12.863,DISTRACTION_CONFIRMED,1,0,0,0,0,37.8,1
P09_drowsiness,36.379,13.902,DISTRACTION_CONFIRMED,1,0,0,0,0,39.2,1
P09_drowsiness,37.495,15.018,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,43.2,1
P09_drowsiness,38.522,16.045,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,48.2,1
P09_drowsiness,39.675,17.198,FATIGUE_DROWSINESS_CONFIRMED,1,0,0,0,0,53.2,1
P09_drowsiness,40.696,18.219,FATIGUE_DROWSINESS_EVENT,0,1,0,0,0,59.8,1
P09_drowsiness,41.873,19.396,ATTENTIVE_NORMAL,0,1,0,0,0,66.6,1
P09_drowsiness,42.922,20.445,DISTRACTION_CONFIRMED,1,1,0,0,0,68,1
P09_drowsiness,44.035,21.558,DISTRACTION_CONFIRMED,1,1,0,0,0,67.8,1
P09_drowsiness,45.04,22.563,DISTRACTION_CONFIRMED,1,1,0,0,0,65.2,1
P09_drowsiness,46.175,23.698,DISTRACTION_CONFIRMED,1,1,0,0,0,64.2,1
P09_drowsiness,47.175,24.698,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,61.8,1
P09_drowsiness,48.257,25.78,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,61.2,1
P09_drowsiness,49.258,26.781,FATIGUE_DROWSINESS_CONFIRMED,1,1,0,0,0,65.2,1
P09_drowsiness,50.395,27.918,FATIGUE_DROWSINESS_EVENT,0,2,0,0,0,66.2,1
